ClaimNb,BonusMalus,Exposure,VehAge,VehBrand_B12,DrivAge,VehPower,VehGas_Regular,Density
0,64,0.13,5,0,38,8,0,1629
0,50,0.12,4,1,67,10,1,1662
0,50,0.08,11,1,33,9,1,179
0,50,0.26,1,1,43,7,0,579
0,50,1.0,7,0,53,7,1,119
0,50,0.48,1,1,53,7,0,562
0,68,0.14,13,0,46,8,0,1381
1,55,0.06,0,1,52,4,1,5433
0,60,0.06,8,0,66,6,0,745
0,50,1.0,22,0,58,6,1,44
0,50,1.0,8,0,40,7,1,22
1,95,0.08,2,0,49,6,0,824
0,95,0.26,1,0,24,5,0,15
0,60,0.29,6,0,28,5,1,776
0,50,0.16,3,0,45,4,1,53
0,80,0.34,10,0,31,14,1,4116
0,57,0.75,15,0,28,6,0,27
0,50,0.08,8,0,45,9,1,160
0,50,0.41,2,1,54,6,1,27000
0,58,1.0,11,0,40,10,0,522
1,62,1.0,6,0,44,6,0,10
0,76,0.37,1,1,46,6,1,6681
0,76,0.1,8,0,25,6,0,186
0,64,0.02,15,0,54,5,0,979
0,50,1.0,1,0,47,5,0,35
0,50,1.0,12,0,61,4,1,28
0,90,1.0,8,0,59,6,0,144
0,50,0.46,2,0,58,10,0,112
0,64,0.16,6,0,31,6,0,125
0,51,0.05,0,0,39,7,1,276
0,50,0.8,20,0,45,5,0,3457
0,90,0.12,14,0,63,4,1,4762
0,50,0.08,13,0,39,5,1,152
0,50,0.03,0,1,60,8,0,32
0,55,1.0,7,0,39,12,1,259
0,50,0.09,10,0,60,10,1,5877
0,50,0.24,15,0,39,6,0,1101
0,57,0.29,1,1,33,5,1,2472
0,51,0.74,13,0,40,9,1,178
0,54,0.24,8,0,35,7,0,181
0,50,0.88,2,0,47,6,0,113
0,60,0.31,10,0,28,9,1,24
0,50,1.0,4,0,53,11,0,796
0,50,1.0,6,0,41,5,0,169
0,50,1.0,12,0,41,6,1,10
0,76,0.01,7,0,32,5,1,139
0,50,1.0,1,0,60,6,0,1313
0,80,0.41,7,0,62,6,0,51
0,68,0.4,19,0,64,7,1,5449
0,54,1.0,10,0,35,5,0,722
0,50,0.24,6,0,76,4,1,48
0,54,0.36,2,0,30,5,0,828
0,50,0.78,3,1,58,5,0,48
0,76,0.57,12,0,36,6,0,3317
0,50,0.49,11,0,61,4,1,75
0,50,1.0,12,0,44,6,0,197
1,62,1.0,7,0,82,7,1,821
0,50,1.0,19,0,81,5,1,4116
0,50,1.0,4,0,57,5,0,12
0,50,1.0,14,0,53,6,0,1397
0,50,0.55,17,0,39,6,1,65
0,76,0.78,2,1,27,4,0,4479
0,50,0.58,6,0,46,5,0,566
0,66,0.5,4,1,45,6,0,263
0,64,0.19,0,1,31,4,1,56
0,50,0.57,13,0,49,5,1,209
0,64,1.0,5,0,46,5,1,747
0,50,1.0,8,0,59,6,1,283
0,50,0.18,0,1,51,11,0,595
0,50,1.0,6,0,31,4,1,2103
0,50,0.12,2,1,45,5,1,214
0,93,0.0054794520547945,13,0,33,10,1,220
0,50,1.0,4,1,40,10,0,8549
0,50,0.52,2,1,51,8,1,228
0,68,1.0,4,0,27,4,1,6729
0,50,1.0,20,0,61,7,1,144
0,100,0.08,9,0,25,7,1,824
0,50,1.0,6,0,49,4,1,3317
0,50,0.41,14,0,47,9,1,15
0,62,0.04,2,1,57,4,0,9307
0,50,1.0,23,0,54,12,0,3963
0,57,0.08,1,0,53,6,0,112
0,76,0.08,13,0,43,10,0,1326
0,50,0.46,1,1,47,7,0,27000
0,50,0.64,0,1,57,12,0,142
0,50,1.0,3,0,83,7,1,15703
0,72,0.04,1,1,32,4,0,563
0,54,0.64,6,0,28,6,0,21
0,85,0.15,8,1,28,10,1,533
0,57,1.0,8,0,81,4,1,1268
0,50,1.0,11,0,43,4,0,204
0,64,0.32,0,0,46,7,1,473
0,54,0.81,7,0,40,7,0,564
0,90,0.92,1,1,33,4,0,672
0,52,1.0,1,0,49,11,0,2252
0,51,0.32,13,0,32,7,1,45
0,50,0.36,2,0,69,4,1,1199
0,50,0.11,11,0,49,6,0,91
0,50,0.02,99,0,35,7,1,29
0,50,1.0,4,0,32,11,0,565
0,50,0.24,6,0,51,7,0,4059
0,60,0.08,6,0,39,7,1,16284
0,72,0.42,15,0,30,6,1,43
0,50,0.53,16,0,67,6,1,614
0,50,0.7,6,1,49,9,1,88
0,100,0.28,10,0,21,14,1,1326
0,50,0.08,0,1,58,11,0,1221
0,50,0.2,4,1,47,7,0,33
0,50,0.04,0,1,56,8,1,445
0,50,1.0,19,0,54,5,1,575
0,50,0.45,8,0,52,5,0,710
0,72,1.0,13,0,54,6,0,8455
0,57,0.3,4,1,29,6,1,118
0,50,0.28,4,1,44,8,0,271
0,50,0.18,0,0,54,7,0,37
0,80,0.09,5,1,29,15,1,155
0,60,0.43,0,0,46,4,1,6736
0,76,0.92,16,0,23,5,1,27
0,50,0.25,9,1,44,10,1,26
0,51,0.03,3,1,60,7,0,883
0,85,0.77,1,1,35,4,1,1064
0,50,1.0,8,1,51,5,0,9307
0,52,0.24,5,0,39,7,0,116
0,50,1.0,14,0,59,4,0,26
0,50,1.0,5,0,43,5,1,713
0,50,0.28,1,1,54,4,1,747
1,50,0.96,10,0,52,5,0,3651
0,50,0.64,11,0,45,4,1,1005
0,50,0.58,15,0,58,13,1,63
0,72,0.75,5,0,36,13,1,3866
0,50,0.39,2,1,81,7,1,354
0,50,0.05,0,0,41,7,0,632
0,51,0.58,4,1,52,5,1,90
0,100,0.23,12,0,28,5,1,949
0,50,1.0,14,0,54,5,1,57
0,50,0.49,2,0,40,6,0,490
0,85,0.08,18,0,34,5,1,300
0,76,0.08,16,0,41,4,1,213
0,100,0.33,2,1,23,8,0,465
0,50,1.0,17,0,45,4,1,481
0,50,1.0,9,0,48,6,0,8455
0,50,0.55,16,0,39,7,1,754
0,50,0.41,6,0,64,8,0,108
0,100,0.21,8,0,19,15,1,801
0,50,1.0,2,0,76,8,1,495
2,50,1.0,7,0,54,6,0,19
0,60,1.0,9,0,34,6,1,1417
0,85,0.38,6,0,23,7,1,1495
0,51,0.24,12,0,37,4,0,61
0,50,0.58,2,0,43,6,0,35
0,68,0.58,12,0,26,4,0,33
0,50,0.03,3,1,81,6,1,4348
0,50,0.74,5,1,58,10,1,3302
0,50,0.47,4,0,34,5,0,88
0,50,0.45,4,1,67,9,1,168
0,72,0.25,11,0,26,7,1,827
0,50,0.04,2,0,31,7,0,1408
1,100,0.43,21,0,31,4,1,4762
1,50,0.29,9,0,48,6,0,105
1,53,1.0,7,0,29,5,0,1323
0,78,0.39,10,0,37,9,1,6570
0,50,1.0,15,0,53,4,1,1313
0,60,0.25,7,1,30,10,0,412
0,50,0.24,4,0,54,5,1,1298
0,50,1.0,1,0,45,12,0,97
0,50,0.21,2,0,39,6,0,3214
0,54,0.21,7,0,35,6,0,399
0,50,0.28,4,1,61,6,0,12374
0,112,0.13,1,0,25,5,0,916
0,50,0.5,12,0,66,4,0,11
0,58,0.51,0,0,42,5,1,41
0,95,0.91,7,0,52,6,1,1165
0,65,0.21,6,1,43,6,0,76
0,50,1.0,2,0,74,5,0,112
0,50,1.0,1,0,52,4,1,1027
0,50,0.04,0,1,37,6,0,4218
0,62,1.0,13,0,61,5,0,269
0,100,0.07,10,0,22,9,1,102
0,50,0.5,5,0,73,5,1,185
0,88,0.42,1,1,57,8,1,41
0,50,0.45,0,1,72,6,0,8915
0,76,1.0,8,0,30,8,0,1753
0,50,1.0,14,0,49,6,1,1408
1,156,0.5,9,0,32,6,1,1910
0,54,0.4,7,0,38,5,0,817
0,80,0.03,0,1,22,4,1,4427
0,85,0.61,26,0,41,14,1,27000
0,50,0.82,12,0,35,8,0,433
0,50,0.28,4,1,37,5,1,3374
0,64,0.58,6,0,34,7,1,84
0,50,0.64,2,1,50,7,0,721
0,50,1.0,14,0,58,4,1,3317
0,50,1.0,2,0,43,15,1,1002
0,50,1.0,8,0,50,4,0,186
0,68,0.2,0,0,30,5,1,3859
0,68,0.12,10,0,27,7,0,39
0,50,0.17,0,1,37,8,0,85
1,54,0.45,2,1,34,7,0,3274
0,50,1.0,5,0,52,7,1,1210
0,50,0.71,0,0,71,7,0,4116
0,50,0.35,2,1,37,7,0,917
0,106,1.0,3,0,33,6,1,3019
0,50,0.05,7,0,65,5,0,741
0,50,0.37,21,0,47,4,1,32
0,68,0.08,7,0,36,6,0,2575
0,50,1.0,14,0,20,4,1,2212
0,76,0.16,0,0,52,5,1,854
0,50,0.2,2,1,71,4,1,75
0,60,1.0,1,0,45,5,1,8455
0,125,0.1,1,1,20,4,1,27000
0,51,1.0,14,0,31,7,1,81
0,55,1.0,14,0,58,6,0,3385
0,50,1.0,11,0,40,8,1,32
0,50,0.41,0,0,64,7,1,182
0,50,0.36,12,0,61,10,1,173
0,50,0.53,8,1,48,10,0,399
0,51,0.29,2,0,34,7,1,721
0,55,0.15,7,0,63,7,0,59
0,80,0.17,11,0,25,6,0,1054
0,85,0.71,4,1,23,5,1,27000
0,50,0.59,18,0,50,4,1,60
0,50,0.49,9,0,33,6,0,29
0,50,0.05,8,0,53,8,0,115
0,57,0.06,2,1,32,8,1,139
1,76,1.0,11,0,49,5,1,286
0,64,0.07,12,0,37,6,0,3317
0,50,0.04,2,1,49,5,0,301
0,50,0.5,21,0,45,7,1,139
0,50,1.0,2,0,57,7,1,679
0,68,0.54,5,1,49,6,1,260
0,64,0.36,2,1,36,6,0,226
0,50,0.21,4,1,50,9,1,269
0,73,1.0,4,0,76,7,1,16533
0,80,0.07,6,1,29,6,0,3708
0,80,0.08,16,0,35,6,0,3301
0,50,1.0,19,0,64,8,1,1602
0,100,0.53,8,0,25,7,0,1314
0,68,0.29,12,0,32,6,0,111
0,50,1.0,8,0,74,4,1,41
0,80,0.49,8,0,37,5,0,4059
0,50,1.0,8,0,57,4,1,229
0,50,0.01,0,1,79,5,1,218
0,50,1.0,14,0,48,10,1,213
0,100,0.4,11,0,32,6,0,43
0,50,0.53,4,0,43,6,0,354
0,95,0.09,8,0,63,7,0,25
0,50,0.06,12,0,46,5,1,3657
0,50,1.0,7,0,36,5,1,1410
0,85,0.08,0,1,30,4,1,10008
1,50,1.0,1,0,53,8,0,39
0,50,1.0,11,0,78,5,1,803
1,50,0.34,1,0,53,7,0,52
0,50,0.5,2,1,48,10,1,510
0,50,0.08,3,1,45,6,0,2257
0,50,1.0,28,0,39,7,0,56
0,50,0.0027397260273972,5,0,52,6,0,110
0,50,1.0,13,0,44,6,0,287
0,59,0.41,10,0,44,5,1,72
0,55,0.12,1,1,34,10,1,2472
1,50,0.8,13,0,52,7,1,96
0,50,1.0,3,0,52,11,1,182
0,50,0.7,0,0,54,8,0,473
0,50,0.26,7,0,73,6,1,537
0,85,0.1,7,0,33,7,1,856
0,72,0.34,1,1,62,4,1,36
0,50,0.17,4,1,65,5,1,24
0,50,0.08,1,0,44,6,0,591
0,50,0.15,0,0,55,15,1,167
0,50,0.09,0,1,38,10,1,283
0,50,1.0,26,0,42,9,1,182
0,50,0.06,0,1,45,10,1,15703
0,50,0.53,1,1,63,4,1,1234
0,50,0.08,1,0,64,5,0,162
0,50,0.00273224,4,0,79,5,0,44
0,50,1.0,15,0,53,5,1,1313
0,76,0.03,3,1,71,9,1,4650
0,56,1.0,12,0,40,6,0,1601
0,57,0.75,9,0,28,7,0,52
0,64,0.46,4,0,34,5,0,2983
0,85,0.45,28,0,32,7,0,9307
0,54,0.31,17,0,37,6,0,745
0,50,0.03,7,0,54,4,1,57
0,50,0.24,1,1,48,11,0,404
0,50,1.0,8,0,29,5,1,44
0,50,0.25,17,0,51,7,1,134
0,50,1.0,14,0,66,7,1,199
0,50,1.0,2,0,70,7,1,533
0,100,0.29,5,0,23,5,0,9307
0,50,0.01,0,0,54,6,1,4762
0,50,1.0,6,0,40,6,0,88
0,50,1.0,12,0,59,6,0,496
1,50,1.0,9,0,59,6,0,67
0,63,0.91,8,0,34,4,1,1955
0,50,1.0,11,0,39,4,0,13
0,83,0.22,13,0,45,10,1,218
0,95,0.2,10,0,29,7,1,27
0,50,0.02,1,1,64,4,1,1929
0,77,1.0,6,0,53,5,1,27000
0,50,0.6,1,0,50,7,1,821
0,54,0.83,2,0,29,6,0,202
0,50,1.0,2,0,42,10,0,13
0,50,0.45,2,1,43,6,1,21
0,50,1.0,5,0,70,7,1,57
0,76,0.5,13,0,37,5,1,3317
0,50,0.36,2,1,58,8,1,445
0,50,0.75,19,0,61,6,0,610
0,80,0.08,10,0,33,4,1,1055
0,50,0.29,15,0,40,5,0,2715
0,53,0.09,2,1,34,4,0,101
0,50,0.08,15,0,54,7,1,1629
0,50,0.72,0,1,53,12,0,75
0,50,1.0,10,0,79,7,0,46
0,86,0.91,8,0,33,6,0,86
0,72,0.59,12,0,48,5,0,312
0,51,0.11,3,1,33,7,0,81
0,90,1.0,13,0,31,4,1,1054
0,57,0.74,5,0,36,8,0,930
0,50,0.2,5,0,68,6,1,280
0,50,0.01,3,0,57,5,0,5
0,50,0.24,4,0,41,5,0,3963
0,50,0.27,20,0,55,4,1,2201
0,95,0.12,7,0,46,5,1,1326
0,50,1.0,15,0,37,8,0,20
0,50,0.5,1,0,50,8,0,187
0,76,0.98,7,0,43,9,1,713
0,50,1.0,5,0,63,4,1,3744
0,50,0.06,7,0,43,7,0,1466
0,72,0.18,1,0,45,7,0,4128
0,50,0.15,13,0,38,7,1,98
1,50,1.0,5,0,67,10,1,68
0,50,0.13,8,0,40,6,0,25
0,50,0.08,3,1,46,8,0,688
0,50,0.12,1,0,45,7,1,3744
0,50,0.41,13,0,72,7,1,13
0,50,0.08,12,0,43,6,1,288
0,50,1.0,4,0,47,5,0,81
0,90,0.15,13,0,23,4,1,3991
0,50,0.28,3,1,42,5,1,688
0,58,0.23,13,0,34,8,0,3339
0,50,1.0,6,0,64,5,0,152
0,68,0.12,3,1,35,11,0,41
0,80,0.42,17,0,31,6,0,117
0,50,1.0,6,0,67,6,0,522
0,76,0.33,7,0,28,6,0,151
0,50,0.2,14,0,40,6,0,405
1,95,0.2,3,1,30,6,0,861
0,64,0.33,6,0,35,5,1,2472
0,50,0.98,2,1,61,6,0,106
0,50,0.33,14,0,57,7,1,1182
0,59,0.07,3,0,58,7,1,3859
0,50,0.02,8,0,53,7,1,451
0,50,1.0,9,0,50,6,0,1165
0,50,0.92,1,0,33,8,0,40
0,72,0.05,0,1,50,8,0,317
0,55,0.08,16,0,40,4,1,1765
0,57,0.73,16,0,31,8,0,22
0,50,1.0,14,0,52,8,0,93
0,50,0.03,1,0,61,9,0,49
0,50,0.07,0,0,41,5,0,27
0,50,0.35,3,0,61,7,1,77
0,60,0.65,5,0,29,7,1,141
0,50,0.13,2,1,53,6,0,84
0,50,1.0,2,0,32,4,1,3021
0,50,1.0,5,0,74,7,1,9307
0,54,0.36,0,1,43,10,0,27000
0,76,0.62,4,0,28,4,1,1521
0,56,0.15,6,0,55,6,1,866
0,57,0.24,13,0,48,4,1,2044
0,50,1.0,3,0,38,7,0,261
0,52,0.87,4,1,70,15,0,1457
0,55,1.0,4,0,34,4,0,56
0,50,0.04,6,0,58,7,1,32
0,50,0.75,7,0,46,6,0,3386
0,50,0.2,0,1,64,6,0,1699
0,50,0.48,0,1,43,10,1,27000
0,50,0.49,5,0,24,5,1,82
0,100,0.3,15,0,36,5,1,157
0,55,1.0,4,0,41,4,1,23
0,50,0.07,13,0,77,7,1,145
0,64,0.23,11,0,30,9,1,10
0,50,0.83,4,1,47,6,0,69
0,50,0.86,7,0,57,6,1,1943
0,50,0.24,3,0,39,5,1,14
0,95,0.61,16,0,18,5,1,86
0,50,0.03,9,0,49,6,0,50
0,57,0.09,5,0,38,4,1,206
0,64,0.04,0,1,58,7,0,2019
0,59,0.07,3,1,37,4,1,270
0,50,0.08,32,0,41,6,1,157
0,106,0.02,10,0,24,4,1,85
0,64,0.42,3,1,36,7,1,315
0,50,0.07,1,0,34,7,1,245
0,76,0.26,13,0,50,9,1,131
0,50,0.74,5,1,47,8,0,173
0,60,0.07,11,0,36,6,0,483
0,85,0.08,18,0,34,5,1,1326
0,50,0.24,6,0,63,6,0,405
0,71,1.0,5,0,36,5,1,634
0,50,0.45,1,1,36,7,0,185
0,54,0.08,0,0,31,7,1,3132
0,95,0.13,12,0,25,7,1,194
0,50,0.46,15,0,55,5,1,5460
0,57,0.07,10,0,36,5,1,61
0,62,0.05,0,1,58,9,1,16291
1,62,0.5,6,0,64,8,0,66
0,50,1.0,10,0,79,4,1,658
0,50,0.52,5,1,53,4,1,3386
0,50,0.12,15,0,39,8,0,4762
1,50,1.0,2,0,47,5,1,3386
0,50,0.02,3,1,71,5,1,458
0,60,0.08,3,0,33,6,0,501
0,50,1.0,11,0,61,10,1,1753
0,54,1.0,8,0,33,5,1,84
0,50,1.0,18,0,68,5,1,149
0,50,1.0,2,0,73,4,1,25
1,54,0.12,0,1,30,5,1,5433
0,50,0.67,17,0,38,4,1,38
0,60,0.18,7,0,33,7,0,8549
0,64,0.91,1,0,33,7,1,745
0,95,0.55,12,0,21,9,1,107
0,50,0.08,1,1,46,10,1,876
0,50,0.02,6,0,50,7,0,1521
0,50,1.0,5,0,51,5,0,817
0,50,0.0027322404371584,0,1,54,6,1,127
0,72,0.08,10,0,29,6,0,217
0,76,0.58,9,0,30,10,1,1662
0,50,0.26,10,0,50,6,0,50
0,50,1.0,13,0,91,5,1,115
1,72,1.0,5,0,30,5,0,3386
0,57,0.49,13,0,31,6,1,43
0,51,0.46,7,0,34,6,0,295
0,78,0.06,4,0,34,12,1,4116
0,50,0.8,1,1,49,6,1,800
0,50,1.0,8,0,53,5,1,3386
0,50,0.45,2,1,56,7,1,3744
2,50,0.28,1,1,48,6,1,175
0,50,0.08,14,0,45,7,1,2699
0,50,1.0,4,0,43,7,0,56
0,90,0.29,6,0,21,6,0,4128
0,50,1.0,9,0,35,6,0,1054
0,68,0.49,10,0,34,6,0,583
0,50,1.0,12,0,77,8,1,73
0,64,0.08,4,0,30,7,0,824
0,50,0.71,13,0,54,7,1,67
0,62,0.7,2,1,63,10,1,4753
0,55,1.0,10,0,55,9,1,26
0,50,0.13,0,1,43,6,1,677
2,50,0.09,0,1,64,10,1,99
0,50,0.24,16,0,48,7,1,51
0,50,1.0,16,0,52,5,1,83
0,61,0.12,5,0,37,7,0,160
0,50,0.23,9,0,51,6,0,42
0,68,0.08,14,0,42,7,1,4456
0,50,0.4,7,0,53,5,1,500
0,112,0.18,19,0,21,8,0,1313
1,50,1.0,6,0,67,7,1,27000
0,68,0.96,1,0,26,5,0,3317
0,50,1.0,8,0,48,7,0,142
0,50,0.57,10,0,61,7,1,27
0,72,0.83,9,0,27,4,1,97
0,50,0.47,8,0,35,6,0,256
0,50,1.0,6,0,35,6,0,4116
0,72,1.0,9,0,36,4,1,8455
0,50,0.48,6,0,36,5,1,91
0,50,0.06,9,0,50,7,1,298
0,77,0.08,11,0,31,10,1,31
0,50,1.0,17,0,60,6,0,15
0,50,0.91,15,0,38,5,1,2399
0,90,0.23,16,0,34,9,0,71
0,72,1.0,8,0,26,6,1,342
0,50,0.61,4,1,52,5,1,863
0,100,0.01,3,1,22,6,1,3023
0,50,0.08,5,0,44,6,0,487
0,50,0.17,0,1,48,9,1,82
0,50,0.74,1,0,54,4,1,10
0,50,0.12,5,0,56,6,0,1482
0,118,0.87,3,1,29,7,1,45
0,50,0.12,3,1,52,8,0,1807
0,50,0.21,0,0,38,7,1,1542
0,50,1.0,16,0,38,6,0,109
0,50,0.7,6,1,52,6,0,1323
0,50,0.54,10,0,41,7,0,476
0,50,0.75,4,0,51,6,1,76
0,54,1.0,2,0,59,5,1,983
0,50,0.75,15,0,42,7,1,33
0,50,0.77,9,0,40,4,1,140
0,50,0.68,1,0,57,6,0,44
0,118,0.29,15,0,23,5,1,385
0,50,1.0,13,0,62,4,1,13
0,50,0.53,0,1,43,4,0,1262
0,72,0.24,8,0,32,6,0,384
0,50,0.45,2,1,56,4,0,8455
0,50,1.0,14,0,42,6,0,175
0,64,0.47,1,0,31,6,0,2411
0,50,0.58,4,0,33,6,1,283
0,50,0.74,1,1,65,6,1,225
0,51,0.12,4,0,31,5,0,45
0,62,0.58,17,0,42,7,1,741
0,72,0.49,6,0,34,7,1,1753
0,50,1.0,7,0,54,7,0,11
0,50,0.14,2,1,59,7,0,403
0,54,0.07,1,1,32,5,1,1609
0,50,0.18,13,1,47,10,0,262
0,62,0.32,8,0,34,8,0,741
0,72,0.25,6,0,29,6,1,9307
0,50,1.0,2,0,56,6,0,170
2,50,1.0,11,0,57,6,1,9
0,100,0.08,11,0,19,5,1,393
0,80,0.53,18,0,34,4,1,105
0,50,0.1,0,1,46,8,0,44
0,95,0.33,12,0,32,6,1,455
0,55,0.08,3,0,29,6,0,389
0,50,1.0,10,0,45,4,1,130
0,50,1.0,7,0,46,6,0,3317
0,50,0.42,1,0,47,4,0,2715
0,68,0.49,18,0,30,7,0,146
0,78,1.0,9,0,35,7,1,51
0,50,1.0,5,0,53,4,1,163
0,50,1.0,1,0,45,7,1,1313
0,64,0.08,3,0,30,11,0,41
0,85,1.0,17,0,67,5,0,10
0,54,0.95,9,0,31,6,0,288
0,85,0.41,17,0,46,7,0,26
0,50,0.89,3,0,54,5,1,522
0,64,0.13,7,0,30,5,0,579
0,80,0.86,9,0,24,6,0,22
0,50,1.0,8,0,67,4,1,1313
0,90,0.24,10,0,28,4,1,3866
0,68,0.08,0,1,27,4,0,488
0,50,0.04,4,1,43,8,0,238
0,50,1.0,7,1,44,9,1,127
0,50,0.24,7,0,48,7,0,398
0,50,0.67,1,1,40,8,0,1403
0,50,0.26,5,0,50,4,1,177
1,50,0.74,1,0,47,6,0,73
0,54,1.0,13,0,41,6,0,533
0,68,0.46,6,1,41,6,1,495
0,50,1.0,12,0,34,5,0,2575
0,51,0.74,1,1,38,8,0,1196
0,76,0.64,35,0,23,4,1,3386
0,50,1.0,7,0,66,5,0,9
0,50,0.42,0,0,53,7,0,38
0,62,0.31,1,1,41,12,0,738
0,50,0.07,3,1,45,8,0,27000
0,72,0.12,0,1,25,4,1,194
0,50,1.0,14,0,52,7,1,4128
0,50,0.59,2,1,52,4,0,1729
0,50,1.0,13,0,48,7,0,240
0,80,0.12,2,1,33,4,1,7313
0,50,0.93,6,0,50,6,1,186
0,50,0.09,5,1,46,4,1,2674
0,72,0.67,5,0,29,6,0,1451
0,50,0.98,3,0,60,7,0,1370
0,50,1.0,11,0,55,10,1,125
0,100,0.77,18,0,52,8,0,335
0,85,0.07,16,0,26,6,0,473
0,62,0.54,2,1,37,8,0,261
0,54,0.95,18,0,38,4,1,57
0,50,0.1,8,0,70,9,1,2733
0,54,0.5,9,0,38,5,1,118
0,54,0.87,2,1,41,6,1,4358
0,50,0.15,2,0,80,7,1,27000
0,50,0.87,1,1,44,4,0,97
0,50,0.13,12,0,70,6,0,405
0,50,1.0,17,0,57,4,1,1403
0,68,0.08,9,0,32,6,0,2575
0,95,0.45,5,0,27,5,0,3317
1,64,0.57,11,1,35,6,1,219
0,50,1.0,6,0,55,7,0,24
0,53,0.08,17,0,69,4,1,252
0,50,0.42,3,0,59,6,0,149
0,68,0.17,8,0,31,4,0,1871
0,50,0.33,16,0,32,4,1,149
0,50,0.9,1,0,57,8,0,10
0,50,0.63,2,1,56,7,0,59
0,50,0.83,15,0,40,5,0,111
0,63,0.1,0,1,34,10,1,218
0,50,1.0,10,0,37,5,0,193
0,50,1.0,4,1,39,4,1,98
1,100,0.6,13,0,35,7,1,35
0,100,0.97,11,0,19,4,1,489
0,57,0.95,13,0,33,4,1,7403
0,50,0.57,6,0,50,6,0,3688
0,50,1.0,9,0,57,5,1,412
0,95,0.008196721,15,0,19,4,1,170
0,72,0.16,9,0,33,7,0,69
0,50,0.84,7,0,45,4,1,526
0,57,0.95,18,0,30,6,1,578
1,50,1.0,4,0,50,7,1,353
0,64,1.0,10,0,39,7,1,147
0,50,0.07,0,1,53,8,0,15725
0,50,1.0,2,0,78,4,1,4762
0,50,0.08,0,1,70,5,1,5460
0,50,0.09,2,0,49,7,0,283
0,68,0.25,2,0,24,6,0,20
0,100,0.02,12,0,31,4,1,15
0,50,0.59,11,1,44,6,1,71
0,50,0.43,10,0,45,5,1,15
0,50,0.06,1,1,60,11,0,533
0,72,0.17,4,1,35,11,0,90
0,95,0.06,20,0,21,7,1,473
0,50,0.07,0,1,51,5,1,6485
0,85,0.07,1,0,34,5,0,1448
0,100,0.26,1,1,36,11,0,16533
