ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,Density
0,1.0,7,8,55,50,9307
0,0.13,8,5,38,64,1629
0,0.12,10,4,67,50,1662
0,0.08,9,11,33,50,179
0,0.26,7,1,43,50,579
0,1.0,7,7,53,50,119
0,0.48,7,1,53,50,562
0,0.14,8,13,46,68,1381
1,0.06,4,0,52,55,5433
0,0.06,6,8,66,60,745
0,1.0,6,22,58,50,44
0,1.0,7,8,40,50,22
1,0.08,6,2,49,95,824
0,0.26,5,1,24,95,15
0,0.29,5,6,28,60,776
0,0.16,4,3,45,50,53
0,0.34,14,10,31,80,4116
0,0.75,6,15,28,57,27
0,0.08,9,8,45,50,160
0,0.41,6,2,54,50,27000
0,1.0,10,11,40,58,522
1,1.0,6,6,44,62,10
0,0.37,6,1,46,76,6681
0,0.1,6,8,25,76,186
0,0.02,5,15,54,64,979
0,1.0,5,1,47,50,35
0,1.0,4,12,61,50,28
0,1.0,6,8,59,90,144
0,0.46,10,2,58,50,112
0,0.16,6,6,31,64,125
0,0.05,7,0,39,51,276
0,0.8,5,20,45,50,3457
0,0.12,4,14,63,90,4762
0,0.08,5,13,39,50,152
0,0.03,8,0,60,50,32
0,1.0,12,7,39,55,259
0,0.09,10,10,60,50,5877
0,0.24,6,15,39,50,1101
0,0.29,5,1,33,57,2472
0,0.74,9,13,40,51,178
0,0.24,7,8,35,54,181
0,0.88,6,2,47,50,113
0,0.31,9,10,28,60,24
0,1.0,11,4,53,50,796
0,1.0,5,6,41,50,169
0,1.0,6,12,41,50,10
0,0.01,5,7,32,76,139
0,1.0,6,1,60,50,1313
0,0.41,6,7,62,80,51
0,0.4,7,19,64,68,5449
0,1.0,5,10,35,54,722
0,0.24,4,6,76,50,48
0,0.36,5,2,30,54,828
0,0.78,5,3,58,50,48
0,0.57,6,12,36,76,3317
0,0.49,4,11,61,50,75
0,1.0,6,12,44,50,197
1,1.0,7,7,82,62,821
0,1.0,5,19,81,50,4116
0,1.0,5,4,57,50,12
0,1.0,6,14,53,50,1397
0,0.55,6,17,39,50,65
0,0.78,4,2,27,76,4479
0,0.58,5,6,46,50,566
0,0.5,6,4,45,66,263
0,0.19,4,0,31,64,56
0,0.57,5,13,49,50,209
0,1.0,5,5,46,64,747
0,1.0,6,8,59,50,283
0,0.18,11,0,51,50,595
0,1.0,4,6,31,50,2103
0,0.12,5,2,45,50,214
0,0.0054794520547945,10,13,33,93,220
0,1.0,10,4,40,50,8549
0,0.52,8,2,51,50,228
0,1.0,4,4,27,68,6729
0,1.0,7,20,61,50,144
0,0.08,7,9,25,100,824
0,1.0,4,6,49,50,3317
0,0.41,9,14,47,50,15
0,0.04,4,2,57,62,9307
0,1.0,12,23,54,50,3963
0,0.08,6,1,53,57,112
0,0.08,10,13,43,76,1326
0,0.46,7,1,47,50,27000
0,0.64,12,0,57,50,142
0,1.0,7,3,83,50,15703
0,0.04,4,1,32,72,563
0,0.64,6,6,28,54,21
0,0.15,10,8,28,85,533
0,1.0,4,8,81,57,1268
0,1.0,4,11,43,50,204
0,0.32,7,0,46,64,473
0,0.81,7,7,40,54,564
0,0.92,4,1,33,90,672
0,1.0,11,1,49,52,2252
0,0.32,7,13,32,51,45
0,0.36,4,2,69,50,1199
0,0.11,6,11,49,50,91
0,0.02,7,99,35,50,29
0,1.0,11,4,32,50,565
0,0.24,7,6,51,50,4059
0,0.08,7,6,39,60,16284
0,0.42,6,15,30,72,43
0,0.53,6,16,67,50,614
0,0.7,9,6,49,50,88
0,0.28,14,10,21,100,1326
0,0.08,11,0,58,50,1221
0,0.2,7,4,47,50,33
0,0.04,8,0,56,50,445
0,1.0,5,19,54,50,575
0,0.45,5,8,52,50,710
0,1.0,6,13,54,72,8455
0,0.3,6,4,29,57,118
0,0.28,8,4,44,50,271
0,0.18,7,0,54,50,37
0,0.09,15,5,29,80,155
0,0.43,4,0,46,60,6736
0,0.92,5,16,23,76,27
0,0.25,10,9,44,50,26
0,0.03,7,3,60,51,883
0,0.77,4,1,35,85,1064
0,1.0,5,8,51,50,9307
0,0.24,7,5,39,52,116
0,1.0,4,14,59,50,26
0,1.0,5,5,43,50,713
0,0.28,4,1,54,50,747
1,0.96,5,10,52,50,3651
0,0.64,4,11,45,50,1005
0,0.58,13,15,58,50,63
0,0.75,13,5,36,72,3866
0,0.39,7,2,81,50,354
0,0.05,7,0,41,50,632
0,0.58,5,4,52,51,90
0,0.23,5,12,28,100,949
0,1.0,5,14,54,50,57
0,0.49,6,2,40,50,490
0,0.08,5,18,34,85,300
0,0.08,4,16,41,76,213
0,0.33,8,2,23,100,465
0,1.0,4,17,45,50,481
0,1.0,6,9,48,50,8455
0,0.55,7,16,39,50,754
0,0.41,8,6,64,50,108
0,0.21,15,8,19,100,801
0,1.0,8,2,76,50,495
2,1.0,6,7,54,50,19
0,1.0,6,9,34,60,1417
0,0.38,7,6,23,85,1495
0,0.24,4,12,37,51,61
0,0.58,6,2,43,50,35
0,0.58,4,12,26,68,33
0,0.03,6,3,81,50,4348
0,0.74,10,5,58,50,3302
0,0.47,5,4,34,50,88
0,0.45,9,4,67,50,168
0,0.25,7,11,26,72,827
0,0.04,7,2,31,50,1408
1,0.43,4,21,31,100,4762
1,0.29,6,9,48,50,105
1,1.0,5,7,29,53,1323
0,0.39,9,10,37,78,6570
0,1.0,4,15,53,50,1313
0,0.25,10,7,30,60,412
0,0.24,5,4,54,50,1298
0,1.0,12,1,45,50,97
0,0.21,6,2,39,50,3214
0,0.21,6,7,35,54,399
0,0.28,6,4,61,50,12374
0,0.13,5,1,25,112,916
0,0.5,4,12,66,50,11
0,0.51,5,0,42,58,41
0,0.91,6,7,52,95,1165
0,0.21,6,6,43,65,76
0,1.0,5,2,74,50,112
0,1.0,4,1,52,50,1027
0,0.04,6,0,37,50,4218
0,1.0,5,13,61,62,269
0,0.07,9,10,22,100,102
0,0.5,5,5,73,50,185
0,0.42,8,1,57,88,41
0,0.45,6,0,72,50,8915
0,1.0,8,8,30,76,1753
0,1.0,6,14,49,50,1408
1,0.5,6,9,32,156,1910
0,0.4,5,7,38,54,817
0,0.03,4,0,22,80,4427
0,0.61,14,26,41,85,27000
0,0.82,8,12,35,50,433
0,0.28,5,4,37,50,3374
0,0.58,7,6,34,64,84
0,0.64,7,2,50,50,721
0,1.0,4,14,58,50,3317
0,1.0,15,2,43,50,1002
0,1.0,4,8,50,50,186
0,0.2,5,0,30,68,3859
0,0.12,7,10,27,68,39
0,0.17,8,0,37,50,85
1,0.45,7,2,34,54,3274
0,1.0,7,5,52,50,1210
0,0.71,7,0,71,50,4116
0,0.35,7,2,37,50,917
0,1.0,6,3,33,106,3019
0,0.05,5,7,65,50,741
0,0.37,4,21,47,50,32
0,0.08,6,7,36,68,2575
0,1.0,4,14,20,50,2212
0,0.16,5,0,52,76,854
0,0.2,4,2,71,50,75
0,1.0,5,1,45,60,8455
0,0.1,4,1,20,125,27000
0,1.0,7,14,31,51,81
0,1.0,6,14,58,55,3385
0,1.0,8,11,40,50,32
0,0.41,7,0,64,50,182
0,0.36,10,12,61,50,173
0,0.53,10,8,48,50,399
0,0.29,7,2,34,51,721
0,0.15,7,7,63,55,59
0,0.17,6,11,25,80,1054
0,0.71,5,4,23,85,27000
0,0.59,4,18,50,50,60
0,0.49,6,9,33,50,29
0,0.05,8,8,53,50,115
0,0.06,8,2,32,57,139
1,1.0,5,11,49,76,286
0,0.07,6,12,37,64,3317
0,0.04,5,2,49,50,301
0,0.5,7,21,45,50,139
0,1.0,7,2,57,50,679
0,0.54,6,5,49,68,260
0,0.36,6,2,36,64,226
0,0.21,9,4,50,50,269
0,1.0,7,4,76,73,16533
0,0.07,6,6,29,80,3708
0,0.08,6,16,35,80,3301
0,1.0,8,19,64,50,1602
0,0.53,7,8,25,100,1314
0,0.29,6,12,32,68,111
0,1.0,4,8,74,50,41
0,0.49,5,8,37,80,4059
0,1.0,4,8,57,50,229
0,0.01,5,0,79,50,218
0,1.0,10,14,48,50,213
0,0.4,6,11,32,100,43
0,0.53,6,4,43,50,354
0,0.09,7,8,63,95,25
0,0.06,5,12,46,50,3657
0,1.0,5,7,36,50,1410
0,0.08,4,0,30,85,10008
1,1.0,8,1,53,50,39
0,1.0,5,11,78,50,803
1,0.34,7,1,53,50,52
0,0.5,10,2,48,50,510
0,0.08,6,3,45,50,2257
0,1.0,7,28,39,50,56
0,0.0027397260273972,6,5,52,50,110
0,1.0,6,13,44,50,287
0,0.41,5,10,44,59,72
0,0.12,10,1,34,55,2472
1,0.8,7,13,52,50,96
0,1.0,11,3,52,50,182
0,0.7,8,0,54,50,473
0,0.26,6,7,73,50,537
0,0.1,7,7,33,85,856
0,0.34,4,1,62,72,36
0,0.17,5,4,65,50,24
0,0.08,6,1,44,50,591
0,0.15,15,0,55,50,167
0,0.09,10,0,38,50,283
0,1.0,9,26,42,50,182
0,0.06,10,0,45,50,15703
0,0.53,4,1,63,50,1234
0,0.08,5,1,64,50,162
0,0.00273224,5,4,79,50,44
0,1.0,5,15,53,50,1313
0,0.03,9,3,71,76,4650
0,1.0,6,12,40,56,1601
0,0.75,7,9,28,57,52
0,0.46,5,4,34,64,2983
0,0.45,7,28,32,85,9307
0,0.31,6,17,37,54,745
0,0.03,4,7,54,50,57
0,0.24,11,1,48,50,404
0,1.0,5,8,29,50,44
0,0.25,7,17,51,50,134
0,1.0,7,14,66,50,199
0,1.0,7,2,70,50,533
0,0.29,5,5,23,100,9307
0,0.01,6,0,54,50,4762
0,1.0,6,6,40,50,88
0,1.0,6,12,59,50,496
1,1.0,6,9,59,50,67
0,0.91,4,8,34,63,1955
0,1.0,4,11,39,50,13
0,0.22,10,13,45,83,218
0,0.2,7,10,29,95,27
0,0.02,4,1,64,50,1929
0,1.0,5,6,53,77,27000
0,0.6,7,1,50,50,821
0,0.83,6,2,29,54,202
0,1.0,10,2,42,50,13
0,0.45,6,2,43,50,21
0,1.0,7,5,70,50,57
0,0.5,5,13,37,76,3317
0,0.36,8,2,58,50,445
0,0.75,6,19,61,50,610
0,0.08,4,10,33,80,1055
0,0.29,5,15,40,50,2715
0,0.09,4,2,34,53,101
0,0.08,7,15,54,50,1629
0,0.72,12,0,53,50,75
0,1.0,7,10,79,50,46
0,0.91,6,8,33,86,86
0,0.59,5,12,48,72,312
0,0.11,7,3,33,51,81
0,1.0,4,13,31,90,1054
0,0.74,8,5,36,57,930
0,0.2,6,5,68,50,280
0,0.01,5,3,57,50,5
0,0.24,5,4,41,50,3963
0,0.27,4,20,55,50,2201
0,0.12,5,7,46,95,1326
0,1.0,8,15,37,50,20
0,0.5,8,1,50,50,187
0,0.98,9,7,43,76,713
0,1.0,4,5,63,50,3744
0,0.06,7,7,43,50,1466
0,0.18,7,1,45,72,4128
0,0.15,7,13,38,50,98
1,1.0,10,5,67,50,68
0,0.13,6,8,40,50,25
0,0.08,8,3,46,50,688
0,0.12,7,1,45,50,3744
0,0.41,7,13,72,50,13
0,0.08,6,12,43,50,288
0,1.0,5,4,47,50,81
0,0.15,4,13,23,90,3991
0,0.28,5,3,42,50,688
0,0.23,8,13,34,58,3339
0,1.0,5,6,64,50,152
0,0.12,11,3,35,68,41
0,0.42,6,17,31,80,117
0,1.0,6,6,67,50,522
0,0.33,6,7,28,76,151
0,0.2,6,14,40,50,405
1,0.2,6,3,30,95,861
0,0.33,5,6,35,64,2472
0,0.98,6,2,61,50,106
0,0.33,7,14,57,50,1182
0,0.07,7,3,58,59,3859
0,0.02,7,8,53,50,451
0,1.0,6,9,50,50,1165
0,0.92,8,1,33,50,40
0,0.05,8,0,50,72,317
0,0.08,4,16,40,55,1765
0,0.73,8,16,31,57,22
0,1.0,8,14,52,50,93
0,0.03,9,1,61,50,49
0,0.07,5,0,41,50,27
0,0.35,7,3,61,50,77
0,0.65,7,5,29,60,141
0,0.13,6,2,53,50,84
0,1.0,4,2,32,50,3021
0,1.0,7,5,74,50,9307
0,0.36,10,0,43,54,27000
0,0.62,4,4,28,76,1521
0,0.15,6,6,55,56,866
0,0.24,4,13,48,57,2044
0,1.0,7,3,38,50,261
0,0.87,15,4,70,52,1457
0,1.0,4,4,34,55,56
0,0.04,7,6,58,50,32
0,0.75,6,7,46,50,3386
0,0.2,6,0,64,50,1699
0,0.48,10,0,43,50,27000
0,0.49,5,5,24,50,82
0,0.3,5,15,36,100,157
0,1.0,4,4,41,55,23
0,0.07,7,13,77,50,145
0,0.23,9,11,30,64,10
0,0.83,6,4,47,50,69
0,0.86,6,7,57,50,1943
0,0.24,5,3,39,50,14
0,0.61,5,16,18,95,86
0,0.03,6,9,49,50,50
0,0.09,4,5,38,57,206
0,0.04,7,0,58,64,2019
0,0.07,4,3,37,59,270
0,0.08,6,32,41,50,157
0,0.02,4,10,24,106,85
0,0.42,7,3,36,64,315
0,0.07,7,1,34,50,245
0,0.26,9,13,50,76,131
0,0.74,8,5,47,50,173
0,0.07,6,11,36,60,483
0,0.08,5,18,34,85,1326
0,0.24,6,6,63,50,405
0,1.0,5,5,36,71,634
0,0.45,7,1,36,50,185
0,0.08,7,0,31,54,3132
0,0.13,7,12,25,95,194
0,0.46,5,15,55,50,5460
0,0.07,5,10,36,57,61
0,0.05,9,0,58,62,16291
1,0.5,8,6,64,62,66
0,1.0,4,10,79,50,658
0,0.52,4,5,53,50,3386
0,0.12,8,15,39,50,4762
1,1.0,5,2,47,50,3386
0,0.02,5,3,71,50,458
0,0.08,6,3,33,60,501
0,1.0,10,11,61,50,1753
0,1.0,5,8,33,54,84
0,1.0,5,18,68,50,149
0,1.0,4,2,73,50,25
1,0.12,5,0,30,54,5433
0,0.67,4,17,38,50,38
0,0.18,7,7,33,60,8549
0,0.91,7,1,33,64,745
0,0.55,9,12,21,95,107
0,0.08,10,1,46,50,876
0,0.02,7,6,50,50,1521
0,1.0,5,5,51,50,817
0,0.0027322404371584,6,0,54,50,127
0,0.08,6,10,29,72,217
0,0.58,10,9,30,76,1662
0,0.26,6,10,50,50,50
0,1.0,5,13,91,50,115
1,1.0,5,5,30,72,3386
0,0.49,6,13,31,57,43
0,0.46,6,7,34,51,295
0,0.06,12,4,34,78,4116
0,0.8,6,1,49,50,800
0,1.0,5,8,53,50,3386
0,0.45,7,2,56,50,3744
2,0.28,6,1,48,50,175
0,0.08,7,14,45,50,2699
0,1.0,7,4,43,50,56
0,0.29,6,6,21,90,4128
0,1.0,6,9,35,50,1054
0,0.49,6,10,34,68,583
0,1.0,8,12,77,50,73
0,0.08,7,4,30,64,824
0,0.71,7,13,54,50,67
0,0.7,10,2,63,62,4753
0,1.0,9,10,55,55,26
0,0.13,6,0,43,50,677
2,0.09,10,0,64,50,99
0,0.24,7,16,48,50,51
0,1.0,5,16,52,50,83
0,0.12,7,5,37,61,160
0,0.23,6,9,51,50,42
0,0.08,7,14,42,68,4456
0,0.4,5,7,53,50,500
0,0.18,8,19,21,112,1313
1,1.0,7,6,67,50,27000
0,0.96,5,1,26,68,3317
0,1.0,7,8,48,50,142
0,0.57,7,10,61,50,27
0,0.83,4,9,27,72,97
0,0.47,6,8,35,50,256
0,1.0,6,6,35,50,4116
0,1.0,4,9,36,72,8455
0,0.48,5,6,36,50,91
0,0.06,7,9,50,50,298
0,0.08,10,11,31,77,31
0,1.0,6,17,60,50,15
0,0.91,5,15,38,50,2399
0,0.23,9,16,34,90,71
0,1.0,6,8,26,72,342
0,0.61,5,4,52,50,863
0,0.01,6,3,22,100,3023
0,0.08,6,5,44,50,487
0,0.17,9,0,48,50,82
0,0.74,4,1,54,50,10
0,0.12,6,5,56,50,1482
0,0.87,7,3,29,118,45
0,0.12,8,3,52,50,1807
0,0.21,7,0,38,50,1542
0,1.0,6,16,38,50,109
0,0.7,6,6,52,50,1323
0,0.54,7,10,41,50,476
0,0.75,6,4,51,50,76
0,1.0,5,2,59,54,983
0,0.75,7,15,42,50,33
0,0.77,4,9,40,50,140
0,0.68,6,1,57,50,44
0,0.29,5,15,23,118,385
0,1.0,4,13,62,50,13
0,0.53,4,0,43,50,1262
0,0.24,6,8,32,72,384
0,0.45,4,2,56,50,8455
0,1.0,6,14,42,50,175
0,0.47,6,1,31,64,2411
0,0.58,6,4,33,50,283
0,0.74,6,1,65,50,225
0,0.12,5,4,31,51,45
0,0.58,7,17,42,62,741
0,0.49,7,6,34,72,1753
0,1.0,7,7,54,50,11
0,0.14,7,2,59,50,403
0,0.07,5,1,32,54,1609
0,0.18,10,13,47,50,262
0,0.32,8,8,34,62,741
0,0.25,6,6,29,72,9307
0,1.0,6,2,56,50,170
2,1.0,6,11,57,50,9
0,0.08,5,11,19,100,393
0,0.53,4,18,34,80,105
0,0.1,8,0,46,50,44
0,0.33,6,12,32,95,455
0,0.08,6,3,29,55,389
0,1.0,4,10,45,50,130
0,1.0,6,7,46,50,3317
0,0.42,4,1,47,50,2715
0,0.49,7,18,30,68,146
0,1.0,7,9,35,78,51
0,1.0,4,5,53,50,163
0,1.0,7,1,45,50,1313
0,0.08,11,3,30,64,41
0,1.0,5,17,67,85,10
0,0.95,6,9,31,54,288
0,0.41,7,17,46,85,26
0,0.89,5,3,54,50,522
0,0.13,5,7,30,64,579
0,0.86,6,9,24,80,22
0,1.0,4,8,67,50,1313
0,0.24,4,10,28,90,3866
0,0.08,4,0,27,68,488
0,0.04,8,4,43,50,238
0,1.0,9,7,44,50,127
0,0.24,7,7,48,50,398
0,0.67,8,1,40,50,1403
0,0.26,4,5,50,50,177
1,0.74,6,1,47,50,73
0,1.0,6,13,41,54,533
0,0.46,6,6,41,68,495
0,1.0,5,12,34,50,2575
0,0.74,8,1,38,51,1196
0,0.64,4,35,23,76,3386
0,1.0,5,7,66,50,9
0,0.42,7,0,53,50,38
0,0.31,12,1,41,62,738
0,0.07,8,3,45,50,27000
0,0.12,4,0,25,72,194
0,1.0,7,14,52,50,4128
0,0.59,4,2,52,50,1729
0,1.0,7,13,48,50,240
0,0.12,4,2,33,80,7313
0,0.93,6,6,50,50,186
0,0.09,4,5,46,50,2674
0,0.67,6,5,29,72,1451
0,0.98,7,3,60,50,1370
0,1.0,10,11,55,50,125
0,0.77,8,18,52,100,335
0,0.07,6,16,26,85,473
0,0.54,8,2,37,62,261
0,0.95,4,18,38,54,57
0,0.1,9,8,70,50,2733
0,0.5,5,9,38,54,118
0,0.87,6,2,41,54,4358
0,0.15,7,2,80,50,27000
0,0.87,4,1,44,50,97
0,0.13,6,12,70,50,405
0,1.0,4,17,57,50,1403
0,0.08,6,9,32,68,2575
0,0.45,5,5,27,95,3317
1,0.57,6,11,35,64,219
0,1.0,7,6,55,50,24
0,0.08,4,17,69,53,252
0,0.42,6,3,59,50,149
0,0.17,4,8,31,68,1871
0,0.33,4,16,32,50,149
0,0.9,8,1,57,50,10
0,0.63,7,2,56,50,59
0,0.83,5,15,40,50,111
0,0.1,10,0,34,63,218
0,1.0,5,10,37,50,193
0,1.0,4,4,39,50,98
1,0.6,7,13,35,100,35
0,0.97,4,11,19,100,489
0,0.95,4,13,33,57,7403
0,0.57,6,6,50,50,3688
0,1.0,5,9,57,50,412
0,0.008196721,4,15,19,95,170
0,0.16,7,9,33,72,69
0,0.84,4,7,45,50,526
0,0.95,6,18,30,57,578
1,1.0,7,4,50,50,353
0,1.0,7,10,39,64,147
0,0.07,8,0,53,50,15725
0,1.0,4,2,78,50,4762
0,0.08,5,0,70,50,5460
0,0.09,7,2,49,50,283
0,0.25,6,2,24,68,20
0,0.02,4,12,31,100,15
0,0.59,6,11,44,50,71
0,0.43,5,10,45,50,15
0,0.06,11,1,60,50,533
0,0.17,11,4,35,72,90
0,0.06,7,20,21,95,473
0,0.07,5,0,51,50,6485
0,0.07,5,1,34,85,1448
0,0.26,11,1,36,100,16533
0,0.53,6,10,34,51,1629
0,0.55,10,13,38,50,983
0,0.59,6,12,24,100,1441
0,0.08,7,3,42,58,4393
0,0.67,9,12,42,50,2252
0,0.12,11,7,45,50,49
0,0.34,8,25,48,50,154
0,0.08,13,13,33,64,5410
0,0.17,6,3,50,50,1109
0,1.0,5,1,27,64,745
0,0.11,5,12,47,60,5053
0,1.0,10,13,56,80,1054
0,1.0,7,4,30,50,747
0,1.0,7,6,40,50,776
0,0.45,12,6,43,54,2415
0,0.13,4,0,65,52,72
0,1.0,7,5,47,50,165
0,0.08,6,7,41,50,2949
0,1.0,4,7,52,50,3317
0,0.08,4,1,31,80,323
0,0.57,4,1,70,50,215
0,0.25,5,5,25,68,67
0,0.46,9,1,32,60,12
0,0.4,5,14,39,50,256
0,0.51,4,2,49,57,27000
0,0.02,4,1,54,50,693
0,0.2,4,7,54,125,28
0,0.2,5,5,43,55,1535
0,0.08,6,1,48,50,1064
0,0.08,10,15,28,85,542
1,0.5,4,10,19,95,399
0,0.24,9,20,56,50,45
0,1.0,6,2,47,50,747
0,0.15,4,8,55,50,171
0,0.26,6,5,38,54,1323
0,0.08,6,4,37,76,7259
0,0.42,5,4,34,80,684
0,0.8,6,9,27,60,115
0,0.57,4,17,41,51,2498
0,0.88,5,7,53,50,79
1,0.27,7,0,33,68,137
0,0.21,4,14,24,50,898
0,0.9,5,22,42,50,223
0,0.25,4,6,57,50,65
0,0.25,9,18,48,50,824
0,0.51,6,2,25,72,2446
0,1.0,4,16,62,62,58
0,0.03,7,2,29,68,147
0,1.0,5,10,51,50,4116
0,1.0,7,16,49,58,163
0,0.07,6,3,69,50,307
0,0.5,8,13,72,51,405
0,1.0,6,8,55,50,104
0,0.37,6,8,32,76,2348
0,1.0,7,14,36,85,301
0,1.0,6,7,48,51,80
0,0.16,5,3,46,50,158
0,0.09,7,10,45,68,133
0,0.26,6,13,32,50,1064
0,1.0,6,10,45,50,3060
1,0.08,5,0,24,90,97
0,1.0,6,12,55,50,271
0,0.5,8,0,72,50,796
0,0.12,6,2,35,90,27000
0,0.14,5,11,68,50,120
1,0.96,4,10,72,50,234
0,0.62,5,2,55,50,1807
0,0.27,6,2,60,69,3317
0,1.0,6,15,58,50,306
0,0.42,8,1,48,50,8455
0,0.1,12,1,43,62,244
0,0.26,5,13,35,68,1381
0,1.0,11,8,58,50,393
0,0.12,6,11,54,50,3866
0,0.08,8,5,50,62,2365
0,0.95,7,17,92,50,342
0,0.2,11,1,60,50,13
0,0.37,9,13,40,50,71
0,0.35,8,0,45,63,2715
0,0.49,14,8,32,80,4762
0,0.75,7,8,55,50,105
0,0.83,7,6,53,85,3963
0,0.08,5,5,35,50,402
0,0.08,6,4,37,76,7259
0,0.09,7,0,50,50,10961
0,0.28,6,3,33,50,72
0,0.11,8,0,22,80,164
0,0.24,6,6,26,81,3317
0,1.0,8,5,39,50,112
0,0.15,5,13,29,85,8455
0,1.0,6,14,70,50,4128
0,0.04,6,9,32,76,2983
0,0.11,5,21,31,100,886
0,0.68,4,2,46,55,79
0,0.95,4,2,38,72,379
0,1.0,6,3,77,62,106
0,0.75,11,1,58,50,721
0,1.0,7,17,46,50,393
0,1.0,7,9,62,50,481
0,0.08,6,1,55,52,3317
0,1.0,5,10,32,55,229
0,0.53,5,5,56,50,269
0,1.0,6,5,31,50,57
0,1.0,6,14,52,50,22
0,0.92,5,5,57,50,9307
0,0.09,13,0,64,50,3301
0,1.0,4,11,40,76,10156
0,0.08,4,14,32,50,824
0,0.71,5,1,40,50,824
0,0.36,8,3,40,57,182
1,0.04,4,18,52,50,369
0,0.63,4,2,26,76,1363
0,1.0,5,9,74,50,67
0,1.0,6,7,61,50,51
0,0.98,6,6,75,50,879
0,0.09,11,1,51,50,609
0,0.13,6,6,61,50,171
0,1.0,7,10,63,50,1313
1,0.69,5,10,45,50,3021
0,0.66,6,5,36,72,2103
0,0.08,6,4,66,50,20
0,0.19,6,8,47,53,393
0,0.03,7,8,32,95,114
0,0.41,10,12,54,50,1082
0,0.94,7,16,64,50,78
0,0.92,8,3,48,50,89
0,0.4,7,4,40,50,575
0,0.03,6,9,44,50,478
1,0.19,6,0,76,50,4762
0,0.51,4,1,49,50,88
0,0.24,6,7,71,50,43
0,1.0,5,12,48,50,32
0,0.53,4,9,24,90,3963
0,1.0,7,5,53,50,71
0,0.45,4,11,85,50,24
0,1.0,5,10,42,50,1329
0,0.78,15,0,35,80,856
0,0.12,4,5,39,80,17140
0,0.39,7,4,38,51,3599
0,1.0,10,9,57,50,57
0,0.22,4,8,43,80,5449
0,0.05,7,2,54,50,901
0,0.56,10,4,51,50,1445
0,0.24,7,3,33,68,124
0,0.08,7,15,54,50,1629
0,0.91,12,11,48,50,115
0,1.0,7,2,53,55,216
0,1.0,11,13,53,50,27000
0,0.3,7,3,62,50,380
0,0.58,10,1,45,50,3021
0,1.0,5,20,40,56,108
0,1.0,5,7,53,50,72
0,1.0,5,15,51,50,7
0,0.03,7,11,53,100,1191
0,0.24,5,5,45,95,1929
0,0.8,5,5,28,125,1780
0,0.08,6,4,32,53,4059
0,1.0,4,10,48,50,581
0,0.06,4,0,26,72,3301
0,1.0,7,5,38,50,50
0,1.0,7,5,42,50,37
0,1.0,6,10,47,50,89
0,1.0,7,5,44,50,126
0,0.78,5,1,47,50,966
0,0.49,7,1,41,50,490
0,0.05,8,5,44,50,26
0,0.38,6,6,43,50,38
0,0.56,5,12,26,90,1064
0,0.5,6,4,42,50,745
