,ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,Density
150,0,0.52,8,2,51,50,228
151,0,1.0,4,4,27,68,6729
152,0,1.0,7,20,61,50,144
153,0,0.08,7,9,25,100,824
154,0,1.0,4,6,49,50,3317
155,0,0.41,9,14,47,50,15
156,0,0.04,4,2,57,62,9307
157,0,1.0,12,23,54,50,3963
158,0,0.08,6,1,53,57,112
159,0,0.08,10,13,43,76,1326
160,0,0.46,7,1,47,50,27000
161,0,0.64,12,0,57,50,142
162,0,1.0,7,3,83,50,15703
163,0,0.04,4,1,32,72,563
164,0,0.64,6,6,28,54,21
165,0,0.15,10,8,28,85,533
166,0,1.0,4,8,81,57,1268
167,0,1.0,4,11,43,50,204
168,0,0.32,7,0,46,64,473
169,0,0.81,7,7,40,54,564
170,0,0.92,4,1,33,90,672
171,0,1.0,11,1,49,52,2252
172,0,0.32,7,13,32,51,45
173,0,0.36,4,2,69,50,1199
174,0,0.11,6,11,49,50,91
175,0,0.02,7,99,35,50,29
176,0,1.0,11,4,32,50,565
177,0,0.24,7,6,51,50,4059
178,0,0.08,7,6,39,60,16284
179,0,0.42,6,15,30,72,43
180,0,0.53,6,16,67,50,614
181,0,0.7,9,6,49,50,88
182,0,0.28,14,10,21,100,1326
183,0,0.08,11,0,58,50,1221
184,0,0.2,7,4,47,50,33
185,0,0.04,8,0,56,50,445
186,0,1.0,5,19,54,50,575
187,0,0.45,5,8,52,50,710
188,0,1.0,6,13,54,72,8455
189,0,0.3,6,4,29,57,118
190,0,0.28,8,4,44,50,271
191,0,0.18,7,0,54,50,37
192,0,0.09,15,5,29,80,155
193,0,0.43,4,0,46,60,6736
194,0,0.92,5,16,23,76,27
195,0,0.25,10,9,44,50,26
196,0,0.03,7,3,60,51,883
197,0,0.77,4,1,35,85,1064
198,0,1.0,5,8,51,50,9307
199,0,0.24,7,5,39,52,116
200,0,1.0,4,14,59,50,26
201,0,1.0,5,5,43,50,713
202,0,0.28,4,1,54,50,747
203,1,0.96,5,10,52,50,3651
204,0,0.64,4,11,45,50,1005
205,0,0.58,13,15,58,50,63
206,0,0.75,13,5,36,72,3866
207,0,0.39,7,2,81,50,354
208,0,0.05,7,0,41,50,632
209,0,0.58,5,4,52,51,90
210,0,0.23,5,12,28,100,949
211,0,1.0,5,14,54,50,57
212,0,0.49,6,2,40,50,490
213,0,0.08,5,18,34,85,300
214,0,0.08,4,16,41,76,213
215,0,0.33,8,2,23,100,465
216,0,1.0,4,17,45,50,481
217,0,1.0,6,9,48,50,8455
218,0,0.55,7,16,39,50,754
219,0,0.41,8,6,64,50,108
220,0,0.21,15,8,19,100,801
221,0,1.0,8,2,76,50,495
222,2,1.0,6,7,54,50,19
223,0,1.0,6,9,34,60,1417
224,0,0.38,7,6,23,85,1495
225,0,0.24,4,12,37,51,61
226,0,0.58,6,2,43,50,35
227,0,0.58,4,12,26,68,33
228,0,0.03,6,3,81,50,4348
229,0,0.74,10,5,58,50,3302
230,0,0.47,5,4,34,50,88
231,0,0.45,9,4,67,50,168
232,0,0.25,7,11,26,72,827
233,0,0.04,7,2,31,50,1408
234,1,0.43,4,21,31,100,4762
235,1,0.29,6,9,48,50,105
236,1,1.0,5,7,29,53,1323
237,0,0.39,9,10,37,78,6570
238,0,1.0,4,15,53,50,1313
239,0,0.25,10,7,30,60,412
240,0,0.24,5,4,54,50,1298
241,0,1.0,12,1,45,50,97
242,0,0.21,6,2,39,50,3214
243,0,0.21,6,7,35,54,399
244,0,0.28,6,4,61,50,12374
245,0,0.13,5,1,25,112,916
246,0,0.5,4,12,66,50,11
247,0,0.51,5,0,42,58,41
248,0,0.91,6,7,52,95,1165
249,0,0.21,6,6,43,65,76
250,0,1.0,5,2,74,50,112
251,0,1.0,4,1,52,50,1027
252,0,0.04,6,0,37,50,4218
253,0,1.0,5,13,61,62,269
254,0,0.07,9,10,22,100,102
255,0,0.5,5,5,73,50,185
256,0,0.42,8,1,57,88,41
257,0,0.45,6,0,72,50,8915
258,0,1.0,8,8,30,76,1753
259,0,1.0,6,14,49,50,1408
260,1,0.5,6,9,32,156,1910
261,0,0.4,5,7,38,54,817
262,0,0.03,4,0,22,80,4427
263,0,0.61,14,26,41,85,27000
264,0,0.82,8,12,35,50,433
265,0,0.28,5,4,37,50,3374
266,0,0.58,7,6,34,64,84
267,0,0.64,7,2,50,50,721
268,0,1.0,4,14,58,50,3317
269,0,1.0,15,2,43,50,1002
270,0,1.0,4,8,50,50,186
271,0,0.2,5,0,30,68,3859
273,0,0.12,7,10,27,68,39
274,0,0.17,8,0,37,50,85
275,1,0.45,7,2,34,54,3274
276,0,1.0,7,5,52,50,1210
277,0,0.71,7,0,71,50,4116
278,0,0.35,7,2,37,50,917
279,0,1.0,6,3,33,106,3019
280,0,0.05,5,7,65,50,741
281,0,0.37,4,21,47,50,32
282,0,0.08,6,7,36,68,2575
283,0,1.0,4,14,20,50,2212
284,0,0.16,5,0,52,76,854
285,0,0.2,4,2,71,50,75
286,0,1.0,5,1,45,60,8455
287,0,0.1,4,1,20,125,27000
288,0,1.0,7,14,31,51,81
289,0,1.0,6,14,58,55,3385
290,0,1.0,8,11,40,50,32
291,0,0.41,7,0,64,50,182
292,0,0.36,10,12,61,50,173
293,0,0.53,10,8,48,50,399
294,0,0.29,7,2,34,51,721
295,0,0.15,7,7,63,55,59
296,0,0.17,6,11,25,80,1054
297,0,0.71,5,4,23,85,27000
298,0,0.59,4,18,50,50,60
299,0,0.49,6,9,33,50,29
300,0,0.05,8,8,53,50,115
301,0,0.06,8,2,32,57,139
302,1,1.0,5,11,49,76,286
303,0,0.07,6,12,37,64,3317
304,0,0.04,5,2,49,50,301
305,0,0.5,7,21,45,50,139
306,0,1.0,7,2,57,50,679
307,0,0.54,6,5,49,68,260
308,0,0.36,6,2,36,64,226
309,0,0.21,9,4,50,50,269
310,0,1.0,7,4,76,73,16533
311,0,0.07,6,6,29,80,3708
312,0,0.08,6,16,35,80,3301
313,0,1.0,8,19,64,50,1602
314,0,0.53,7,8,25,100,1314
315,0,0.29,6,12,32,68,111
316,0,1.0,4,8,74,50,41
317,0,0.49,5,8,37,80,4059
318,0,1.0,4,8,57,50,229
319,0,0.01,5,0,79,50,218
320,0,1.0,10,14,48,50,213
321,0,0.4,6,11,32,100,43
322,0,0.53,6,4,43,50,354
323,0,0.09,7,8,63,95,25
324,0,0.06,5,12,46,50,3657
325,0,1.0,5,7,36,50,1410
326,0,0.08,4,0,30,85,10008
327,1,1.0,8,1,53,50,39
328,0,1.0,5,11,78,50,803
329,1,0.34,7,1,53,50,52
330,0,0.5,10,2,48,50,510
331,0,0.08,6,3,45,50,2257
332,0,1.0,7,28,39,50,56
333,0,0.0027397260273972,6,5,52,50,110
334,0,1.0,6,13,44,50,287
335,0,0.41,5,10,44,59,72
336,0,0.12,10,1,34,55,2472
337,1,0.8,7,13,52,50,96
338,0,1.0,11,3,52,50,182
339,0,0.7,8,0,54,50,473
340,0,0.26,6,7,73,50,537
341,0,0.1,7,7,33,85,856
342,0,0.34,4,1,62,72,36
343,0,0.17,5,4,65,50,24
344,0,0.08,6,1,44,50,591
345,0,0.15,15,0,55,50,167
346,0,0.09,10,0,38,50,283
347,0,1.0,9,26,42,50,182
348,0,0.06,10,0,45,50,15703
349,0,0.53,4,1,63,50,1234
350,0,0.08,5,1,64,50,162
351,0,0.00273224,5,4,79,50,44
352,0,1.0,5,15,53,50,1313
353,0,0.03,9,3,71,76,4650
354,0,1.0,6,12,40,56,1601
355,0,0.75,7,9,28,57,52
356,0,0.46,5,4,34,64,2983
357,0,0.45,7,28,32,85,9307
358,0,0.31,6,17,37,54,745
359,0,0.03,4,7,54,50,57
360,0,0.24,11,1,48,50,404
361,0,1.0,5,8,29,50,44
362,0,0.25,7,17,51,50,134
363,0,1.0,7,14,66,50,199
364,0,1.0,7,2,70,50,533
365,0,0.29,5,5,23,100,9307
366,0,0.01,6,0,54,50,4762
367,0,1.0,6,6,40,50,88
368,0,1.0,6,12,59,50,496
369,1,1.0,6,9,59,50,67
370,0,0.91,4,8,34,63,1955
371,0,1.0,4,11,39,50,13
372,0,0.22,10,13,45,83,218
373,0,0.2,7,10,29,95,27
374,0,0.02,4,1,64,50,1929
375,0,1.0,5,6,53,77,27000
376,0,0.6,7,1,50,50,821
377,0,0.83,6,2,29,54,202
378,0,1.0,10,2,42,50,13
379,0,0.45,6,2,43,50,21
380,0,1.0,7,5,70,50,57
381,0,0.5,5,13,37,76,3317
382,0,0.36,8,2,58,50,445
383,0,0.75,6,19,61,50,610
384,0,0.08,4,10,33,80,1055
385,0,0.29,5,15,40,50,2715
386,0,0.09,4,2,34,53,101
387,0,0.08,7,15,54,50,1629
388,0,0.72,12,0,53,50,75
389,0,1.0,7,10,79,50,46
390,0,0.91,6,8,33,86,86
391,0,0.59,5,12,48,72,312
392,0,0.11,7,3,33,51,81
393,0,1.0,4,13,31,90,1054
394,0,0.74,8,5,36,57,930
395,0,0.2,6,5,68,50,280
396,0,0.01,5,3,57,50,5
397,0,0.24,5,4,41,50,3963
398,0,0.27,4,20,55,50,2201
399,0,0.12,5,7,46,95,1326
400,0,1.0,8,15,37,50,20
401,0,0.5,8,1,50,50,187
402,0,0.98,9,7,43,76,713
403,0,1.0,4,5,63,50,3744
404,0,0.06,7,7,43,50,1466
405,0,0.18,7,1,45,72,4128
406,0,0.15,7,13,38,50,98
407,1,1.0,10,5,67,50,68
408,0,0.13,6,8,40,50,25
409,0,0.08,8,3,46,50,688
410,0,0.12,7,1,45,50,3744
411,0,0.41,7,13,72,50,13
412,0,0.08,6,12,43,50,288
413,0,1.0,5,4,47,50,81
414,0,0.15,4,13,23,90,3991
415,0,0.28,5,3,42,50,688
416,0,0.23,8,13,34,58,3339
417,0,1.0,5,6,64,50,152
418,0,0.12,11,3,35,68,41
419,0,0.42,6,17,31,80,117
420,0,1.0,6,6,67,50,522
421,0,0.33,6,7,28,76,151
422,0,0.2,6,14,40,50,405
423,1,0.2,6,3,30,95,861
424,0,0.33,5,6,35,64,2472
425,0,0.98,6,2,61,50,106
426,0,0.33,7,14,57,50,1182
427,0,0.07,7,3,58,59,3859
428,0,0.02,7,8,53,50,451
429,0,1.0,6,9,50,50,1165
430,0,0.92,8,1,33,50,40
431,0,0.05,8,0,50,72,317
432,0,0.08,4,16,40,55,1765
433,0,0.73,8,16,31,57,22
434,0,1.0,8,14,52,50,93
435,0,0.03,9,1,61,50,49
436,0,0.07,5,0,41,50,27
437,0,0.35,7,3,61,50,77
438,0,0.65,7,5,29,60,141
439,0,0.13,6,2,53,50,84
440,0,1.0,4,2,32,50,3021
441,0,1.0,7,5,74,50,9307
442,0,0.36,10,0,43,54,27000
443,0,0.62,4,4,28,76,1521
444,0,0.15,6,6,55,56,866
445,0,0.24,4,13,48,57,2044
446,0,1.0,7,3,38,50,261
447,0,0.87,15,4,70,52,1457
448,0,1.0,4,4,34,55,56
449,0,0.04,7,6,58,50,32
450,0,0.75,6,7,46,50,3386
451,0,0.2,6,0,64,50,1699
452,0,0.48,10,0,43,50,27000
453,0,0.49,5,5,24,50,82
454,0,0.3,5,15,36,100,157
455,0,1.0,4,4,41,55,23
456,0,0.07,7,13,77,50,145
457,0,0.23,9,11,30,64,10
458,0,0.83,6,4,47,50,69
459,0,0.86,6,7,57,50,1943
460,0,0.24,5,3,39,50,14
461,0,0.61,5,16,18,95,86
462,0,0.03,6,9,49,50,50
463,0,0.09,4,5,38,57,206
464,0,0.04,7,0,58,64,2019
465,0,0.07,4,3,37,59,270
466,0,0.08,6,32,41,50,157
467,0,0.02,4,10,24,106,85
468,0,0.42,7,3,36,64,315
469,0,0.07,7,1,34,50,245
470,0,0.26,9,13,50,76,131
471,0,0.74,8,5,47,50,173
472,0,0.07,6,11,36,60,483
473,0,0.08,5,18,34,85,1326
474,0,0.24,6,6,63,50,405
475,0,1.0,5,5,36,71,634
476,0,0.45,7,1,36,50,185
477,0,0.08,7,0,31,54,3132
478,0,0.13,7,12,25,95,194
479,0,0.46,5,15,55,50,5460
480,0,0.07,5,10,36,57,61
481,0,0.05,9,0,58,62,16291
482,1,0.5,8,6,64,62,66
483,0,1.0,4,10,79,50,658
484,0,0.52,4,5,53,50,3386
485,0,0.12,8,15,39,50,4762
486,1,1.0,5,2,47,50,3386
487,0,0.02,5,3,71,50,458
488,0,0.08,6,3,33,60,501
489,0,1.0,10,11,61,50,1753
490,0,1.0,5,8,33,54,84
491,0,1.0,5,18,68,50,149
492,0,1.0,4,2,73,50,25
493,1,0.12,5,0,30,54,5433
494,0,0.67,4,17,38,50,38
495,0,0.18,7,7,33,60,8549
496,0,0.91,7,1,33,64,745
497,0,0.55,9,12,21,95,107
498,0,0.08,10,1,46,50,876
499,0,0.02,7,6,50,50,1521
500,0,1.0,5,5,51,50,817
501,0,0.0027322404371584,6,0,54,50,127
502,0,0.08,6,10,29,72,217
503,0,0.58,10,9,30,76,1662
504,0,0.26,6,10,50,50,50
505,0,1.0,5,13,91,50,115
506,1,1.0,5,5,30,72,3386
507,0,0.49,6,13,31,57,43
508,0,0.46,6,7,34,51,295
509,0,0.06,12,4,34,78,4116
510,0,0.8,6,1,49,50,800
511,0,1.0,5,8,53,50,3386
512,0,0.45,7,2,56,50,3744
513,2,0.28,6,1,48,50,175
514,0,0.08,7,14,45,50,2699
515,0,1.0,7,4,43,50,56
516,0,0.29,6,6,21,90,4128
517,0,1.0,6,9,35,50,1054
518,0,0.49,6,10,34,68,583
519,0,1.0,8,12,77,50,73
520,0,0.08,7,4,30,64,824
521,0,0.71,7,13,54,50,67
522,0,0.7,10,2,63,62,4753
523,0,1.0,9,10,55,55,26
524,0,0.13,6,0,43,50,677
525,2,0.09,10,0,64,50,99
526,0,0.24,7,16,48,50,51
527,0,1.0,5,16,52,50,83
528,0,0.12,7,5,37,61,160
529,0,0.23,6,9,51,50,42
530,0,0.08,7,14,42,68,4456
531,0,0.4,5,7,53,50,500
532,0,0.18,8,19,21,112,1313
533,1,1.0,7,6,67,50,27000
534,0,0.96,5,1,26,68,3317
535,0,1.0,7,8,48,50,142
536,0,0.57,7,10,61,50,27
537,0,0.83,4,9,27,72,97
538,0,0.47,6,8,35,50,256
539,0,1.0,6,6,35,50,4116
540,0,1.0,4,9,36,72,8455
541,0,0.48,5,6,36,50,91
542,0,0.06,7,9,50,50,298
543,0,0.08,10,11,31,77,31
544,0,1.0,6,17,60,50,15
545,0,0.91,5,15,38,50,2399
546,0,0.23,9,16,34,90,71
547,0,1.0,6,8,26,72,342
548,0,0.61,5,4,52,50,863
549,0,0.01,6,3,22,100,3023
550,0,0.08,6,5,44,50,487
551,0,0.17,9,0,48,50,82
552,0,0.74,4,1,54,50,10
553,0,0.12,6,5,56,50,1482
554,0,0.87,7,3,29,118,45
555,0,0.12,8,3,52,50,1807
556,0,0.21,7,0,38,50,1542
557,0,1.0,6,16,38,50,109
558,0,0.7,6,6,52,50,1323
559,0,0.54,7,10,41,50,476
560,0,0.75,6,4,51,50,76
561,0,1.0,5,2,59,54,983
562,0,0.75,7,15,42,50,33
563,0,0.77,4,9,40,50,140
564,0,0.68,6,1,57,50,44
565,0,0.29,5,15,23,118,385
566,0,1.0,4,13,62,50,13
567,0,0.53,4,0,43,50,1262
568,0,0.24,6,8,32,72,384
569,0,0.45,4,2,56,50,8455
570,0,1.0,6,14,42,50,175
571,0,0.47,6,1,31,64,2411
572,0,0.58,6,4,33,50,283
573,0,0.74,6,1,65,50,225
574,0,0.12,5,4,31,51,45
575,0,0.58,7,17,42,62,741
576,0,0.49,7,6,34,72,1753
577,0,1.0,7,7,54,50,11
578,0,0.14,7,2,59,50,403
579,0,0.07,5,1,32,54,1609
580,0,0.18,10,13,47,50,262
581,0,0.32,8,8,34,62,741
582,0,0.25,6,6,29,72,9307
583,0,1.0,6,2,56,50,170
584,2,1.0,6,11,57,50,9
585,0,0.08,5,11,19,100,393
586,0,0.53,4,18,34,80,105
587,0,0.1,8,0,46,50,44
588,0,0.33,6,12,32,95,455
589,0,0.08,6,3,29,55,389
590,0,1.0,4,10,45,50,130
591,0,1.0,6,7,46,50,3317
592,0,0.42,4,1,47,50,2715
593,0,0.49,7,18,30,68,146
594,0,1.0,7,9,35,78,51
595,0,1.0,4,5,53,50,163
596,0,1.0,7,1,45,50,1313
597,0,0.08,11,3,30,64,41
598,0,1.0,5,17,67,85,10
599,0,0.95,6,9,31,54,288
600,0,0.41,7,17,46,85,26
601,0,0.89,5,3,54,50,522
602,0,0.13,5,7,30,64,579
603,0,0.86,6,9,24,80,22
604,0,1.0,4,8,67,50,1313
605,0,0.24,4,10,28,90,3866
606,0,0.08,4,0,27,68,488
607,0,0.04,8,4,43,50,238
608,0,1.0,9,7,44,50,127
609,0,0.24,7,7,48,50,398
610,0,0.67,8,1,40,50,1403
611,0,0.26,4,5,50,50,177
612,1,0.74,6,1,47,50,73
613,0,1.0,6,13,41,54,533
614,0,0.46,6,6,41,68,495
615,0,1.0,5,12,34,50,2575
616,0,0.74,8,1,38,51,1196
617,0,0.64,4,35,23,76,3386
618,0,1.0,5,7,66,50,9
619,0,0.42,7,0,53,50,38
620,0,0.31,12,1,41,62,738
621,0,0.07,8,3,45,50,27000
622,0,0.12,4,0,25,72,194
623,0,1.0,7,14,52,50,4128
624,0,0.59,4,2,52,50,1729
625,0,1.0,7,13,48,50,240
626,0,0.12,4,2,33,80,7313
627,0,0.93,6,6,50,50,186
628,0,0.09,4,5,46,50,2674
629,0,0.67,6,5,29,72,1451
630,0,0.98,7,3,60,50,1370
631,0,1.0,10,11,55,50,125
632,0,0.77,8,18,52,100,335
633,0,0.07,6,16,26,85,473
634,0,0.54,8,2,37,62,261
635,0,0.95,4,18,38,54,57
636,0,0.1,9,8,70,50,2733
637,0,0.5,5,9,38,54,118
638,0,0.87,6,2,41,54,4358
639,0,0.15,7,2,80,50,27000
640,0,0.87,4,1,44,50,97
641,0,0.13,6,12,70,50,405
642,0,1.0,4,17,57,50,1403
643,0,0.08,6,9,32,68,2575
644,0,0.45,5,5,27,95,3317
645,1,0.57,6,11,35,64,219
646,0,1.0,7,6,55,50,24
647,0,0.08,4,17,69,53,252
648,0,0.42,6,3,59,50,149
649,0,0.17,4,8,31,68,1871
650,0,0.33,4,16,32,50,149
651,0,0.9,8,1,57,50,10
652,0,0.63,7,2,56,50,59
653,0,0.83,5,15,40,50,111
654,0,0.1,10,0,34,63,218
655,0,1.0,5,10,37,50,193
656,0,1.0,4,4,39,50,98
657,1,0.6,7,13,35,100,35
658,0,0.97,4,11,19,100,489
659,0,0.95,4,13,33,57,7403
660,0,0.57,6,6,50,50,3688
661,0,1.0,5,9,57,50,412
662,0,0.008196721,4,15,19,95,170
663,0,0.16,7,9,33,72,69
664,0,0.84,4,7,45,50,526
665,0,0.95,6,18,30,57,578
666,1,1.0,7,4,50,50,353
667,0,1.0,7,10,39,64,147
668,0,0.07,8,0,53,50,15725
669,0,1.0,4,2,78,50,4762
670,0,0.08,5,0,70,50,5460
671,0,0.09,7,2,49,50,283
672,0,0.25,6,2,24,68,20
673,0,0.02,4,12,31,100,15
674,0,0.59,6,11,44,50,71
675,0,0.43,5,10,45,50,15
676,0,0.06,11,1,60,50,533
677,0,0.17,11,4,35,72,90
678,0,0.06,7,20,21,95,473
679,0,0.07,5,0,51,50,6485
680,0,0.07,5,1,34,85,1448
681,0,0.26,11,1,36,100,16533
682,0,0.53,6,10,34,51,1629
683,0,0.55,10,13,38,50,983
684,0,0.59,6,12,24,100,1441
685,0,0.08,7,3,42,58,4393
686,0,0.67,9,12,42,50,2252
687,0,0.12,11,7,45,50,49
688,0,0.34,8,25,48,50,154
689,0,0.08,13,13,33,64,5410
690,0,0.17,6,3,50,50,1109
691,0,1.0,5,1,27,64,745
692,0,0.11,5,12,47,60,5053
693,0,1.0,10,13,56,80,1054
694,0,1.0,7,4,30,50,747
695,0,1.0,7,6,40,50,776
696,0,0.45,12,6,43,54,2415
697,0,0.13,4,0,65,52,72
698,0,1.0,7,5,47,50,165
699,0,0.08,6,7,41,50,2949
700,0,1.0,4,7,52,50,3317
701,0,0.08,4,1,31,80,323
702,0,0.57,4,1,70,50,215
703,0,0.25,5,5,25,68,67
704,0,0.46,9,1,32,60,12
705,0,0.4,5,14,39,50,256
706,0,0.51,4,2,49,57,27000
707,0,0.02,4,1,54,50,693
708,0,0.2,4,7,54,125,28
709,0,0.2,5,5,43,55,1535
710,0,0.08,6,1,48,50,1064
711,0,0.08,10,15,28,85,542
712,1,0.5,4,10,19,95,399
713,0,0.24,9,20,56,50,45
714,0,1.0,6,2,47,50,747
715,0,0.15,4,8,55,50,171
716,0,0.26,6,5,38,54,1323
717,0,0.08,6,4,37,76,7259
718,0,0.42,5,4,34,80,684
719,0,0.8,6,9,27,60,115
720,0,0.57,4,17,41,51,2498
721,0,0.88,5,7,53,50,79
722,1,0.27,7,0,33,68,137
723,0,0.21,4,14,24,50,898
724,0,0.9,5,22,42,50,223
725,0,0.25,4,6,57,50,65
726,0,0.25,9,18,48,50,824
727,0,0.51,6,2,25,72,2446
728,0,1.0,4,16,62,62,58
729,0,0.03,7,2,29,68,147
730,0,1.0,5,10,51,50,4116
731,0,1.0,7,16,49,58,163
732,0,0.07,6,3,69,50,307
733,0,0.5,8,13,72,51,405
734,0,1.0,6,8,55,50,104
735,0,0.37,6,8,32,76,2348
736,0,1.0,7,14,36,85,301
737,0,1.0,6,7,48,51,80
738,0,0.16,5,3,46,50,158
739,0,0.09,7,10,45,68,133
740,0,0.26,6,13,32,50,1064
741,0,1.0,6,10,45,50,3060
742,1,0.08,5,0,24,90,97
743,0,1.0,6,12,55,50,271
744,0,0.5,8,0,72,50,796
745,0,0.12,6,2,35,90,27000
746,0,0.14,5,11,68,50,120
747,1,0.96,4,10,72,50,234
748,0,0.62,5,2,55,50,1807
749,0,0.27,6,2,60,69,3317
750,0,1.0,6,15,58,50,306
751,0,0.42,8,1,48,50,8455
752,0,0.1,12,1,43,62,244
753,0,0.26,5,13,35,68,1381
754,0,1.0,11,8,58,50,393
755,0,0.12,6,11,54,50,3866
756,0,0.08,8,5,50,62,2365
757,0,0.95,7,17,92,50,342
758,0,0.2,11,1,60,50,13
