,BonusMalus,Exposure,VehAge,VehBrand_B12,DrivAge,VehPower,VehGas_Regular,Density
48,50,0.7,0,1,36,5,0,82
49,118,0.66,10,0,25,6,0,2399
50,50,0.35,1,1,69,8,0,721
51,67,0.15,2,1,50,8,0,3301
52,50,0.58,12,0,61,8,0,3317
53,50,1.0,9,0,35,4,1,43
54,51,0.37,16,0,38,10,1,138
55,52,0.58,17,0,42,6,1,48
56,50,0.21,11,0,51,4,1,4059
57,50,0.75,1,0,80,11,1,658
58,72,0.08,0,1,57,4,1,3317
59,50,1.0,1,0,54,7,0,59
60,90,0.47,12,0,40,7,1,451
61,58,1.0,8,0,40,6,0,68
62,50,1.0,5,1,56,7,1,1448
63,50,1.0,16,0,42,5,0,122
64,50,1.0,1,0,50,7,1,511
65,50,1.0,6,0,69,6,0,634
66,68,0.74,4,1,28,4,0,8455
67,50,0.08,13,0,41,8,1,83
68,80,0.07,15,0,49,7,1,233
69,50,1.0,9,0,42,6,0,1054
70,95,0.44,17,0,21,7,1,1313
71,50,0.21,10,0,47,7,0,405
72,50,1.0,4,0,58,5,0,1535
73,57,1.0,15,0,29,5,0,8549
74,57,1.0,8,0,33,6,0,82
75,50,0.08,8,0,35,6,0,21
76,50,1.0,8,0,55,7,0,9307
77,64,0.13,5,0,38,8,0,1629
78,50,0.12,4,1,67,10,1,1662
79,50,0.08,11,1,33,9,1,179
80,50,0.26,1,1,43,7,0,579
81,50,1.0,7,0,53,7,1,119
82,50,0.48,1,1,53,7,0,562
83,68,0.14,13,0,46,8,0,1381
84,55,0.06,0,1,52,4,1,5433
85,60,0.06,8,0,66,6,0,745
86,50,1.0,22,0,58,6,1,44
87,50,1.0,8,0,40,7,1,22
88,95,0.08,2,0,49,6,0,824
89,95,0.26,1,0,24,5,0,15
90,60,0.29,6,0,28,5,1,776
91,50,0.16,3,0,45,4,1,53
92,80,0.34,10,0,31,14,1,4116
93,57,0.75,15,0,28,6,0,27
94,50,0.08,8,0,45,9,1,160
95,50,0.41,2,1,54,6,1,27000
96,58,1.0,11,0,40,10,0,522
97,62,1.0,6,0,44,6,0,10
98,76,0.37,1,1,46,6,1,6681
99,76,0.1,8,0,25,6,0,186
100,64,0.02,15,0,54,5,0,979
101,50,1.0,1,0,47,5,0,35
102,50,1.0,12,0,61,4,1,28
103,90,1.0,8,0,59,6,0,144
104,50,0.46,2,0,58,10,0,112
105,64,0.16,6,0,31,6,0,125
106,51,0.05,0,0,39,7,1,276
107,50,0.8,20,0,45,5,0,3457
108,90,0.12,14,0,63,4,1,4762
109,50,0.08,13,0,39,5,1,152
110,50,0.03,0,1,60,8,0,32
111,55,1.0,7,0,39,12,1,259
112,50,0.09,10,0,60,10,1,5877
113,50,0.24,15,0,39,6,0,1101
114,57,0.29,1,1,33,5,1,2472
115,51,0.74,13,0,40,9,1,178
116,54,0.24,8,0,35,7,0,181
117,50,0.88,2,0,47,6,0,113
118,60,0.31,10,0,28,9,1,24
119,50,1.0,4,0,53,11,0,796
120,50,1.0,6,0,41,5,0,169
121,50,1.0,12,0,41,6,1,10
122,76,0.01,7,0,32,5,1,139
123,50,1.0,1,0,60,6,0,1313
124,80,0.41,7,0,62,6,0,51
125,68,0.4,19,0,64,7,1,5449
126,54,1.0,10,0,35,5,0,722
127,50,0.24,6,0,76,4,1,48
128,54,0.36,2,0,30,5,0,828
129,50,0.78,3,1,58,5,0,48
130,76,0.57,12,0,36,6,0,3317
131,50,0.49,11,0,61,4,1,75
132,50,1.0,12,0,44,6,0,197
133,62,1.0,7,0,82,7,1,821
134,50,1.0,19,0,81,5,1,4116
135,50,1.0,4,0,57,5,0,12
136,50,1.0,14,0,53,6,0,1397
137,50,0.55,17,0,39,6,1,65
138,76,0.78,2,1,27,4,0,4479
139,50,0.58,6,0,46,5,0,566
140,66,0.5,4,1,45,6,0,263
141,64,0.19,0,1,31,4,1,56
142,50,0.57,13,0,49,5,1,209
143,64,1.0,5,0,46,5,1,747
144,50,1.0,8,0,59,6,1,283
145,50,0.18,0,1,51,11,0,595
146,50,1.0,6,0,31,4,1,2103
147,50,0.12,2,1,45,5,1,214
148,93,0.0054794520547945,13,0,33,10,1,220
149,50,1.0,4,1,40,10,0,8549
150,50,0.52,2,1,51,8,1,228
151,68,1.0,4,0,27,4,1,6729
152,50,1.0,20,0,61,7,1,144
153,100,0.08,9,0,25,7,1,824
154,50,1.0,6,0,49,4,1,3317
155,50,0.41,14,0,47,9,1,15
156,62,0.04,2,1,57,4,0,9307
157,50,1.0,23,0,54,12,0,3963
158,57,0.08,1,0,53,6,0,112
159,76,0.08,13,0,43,10,0,1326
160,50,0.46,1,1,47,7,0,27000
161,50,0.64,0,1,57,12,0,142
162,50,1.0,3,0,83,7,1,15703
163,72,0.04,1,1,32,4,0,563
164,54,0.64,6,0,28,6,0,21
165,85,0.15,8,1,28,10,1,533
166,57,1.0,8,0,81,4,1,1268
167,50,1.0,11,0,43,4,0,204
168,64,0.32,0,0,46,7,1,473
169,54,0.81,7,0,40,7,0,564
170,90,0.92,1,1,33,4,0,672
171,52,1.0,1,0,49,11,0,2252
172,51,0.32,13,0,32,7,1,45
173,50,0.36,2,0,69,4,1,1199
174,50,0.11,11,0,49,6,0,91
175,50,0.02,99,0,35,7,1,29
176,50,1.0,4,0,32,11,0,565
177,50,0.24,6,0,51,7,0,4059
178,60,0.08,6,0,39,7,1,16284
179,72,0.42,15,0,30,6,1,43
180,50,0.53,16,0,67,6,1,614
181,50,0.7,6,1,49,9,1,88
182,100,0.28,10,0,21,14,1,1326
183,50,0.08,0,1,58,11,0,1221
184,50,0.2,4,1,47,7,0,33
185,50,0.04,0,1,56,8,1,445
186,50,1.0,19,0,54,5,1,575
187,50,0.45,8,0,52,5,0,710
188,72,1.0,13,0,54,6,0,8455
189,57,0.3,4,1,29,6,1,118
190,50,0.28,4,1,44,8,0,271
191,50,0.18,0,0,54,7,0,37
192,80,0.09,5,1,29,15,1,155
193,60,0.43,0,0,46,4,1,6736
194,76,0.92,16,0,23,5,1,27
195,50,0.25,9,1,44,10,1,26
196,51,0.03,3,1,60,7,0,883
197,85,0.77,1,1,35,4,1,1064
198,50,1.0,8,1,51,5,0,9307
199,52,0.24,5,0,39,7,0,116
200,50,1.0,14,0,59,4,0,26
201,50,1.0,5,0,43,5,1,713
202,50,0.28,1,1,54,4,1,747
203,50,0.96,10,0,52,5,0,3651
204,50,0.64,11,0,45,4,1,1005
205,50,0.58,15,0,58,13,1,63
206,72,0.75,5,0,36,13,1,3866
207,50,0.39,2,1,81,7,1,354
208,50,0.05,0,0,41,7,0,632
209,51,0.58,4,1,52,5,1,90
210,100,0.23,12,0,28,5,1,949
211,50,1.0,14,0,54,5,1,57
212,50,0.49,2,0,40,6,0,490
213,85,0.08,18,0,34,5,1,300
214,76,0.08,16,0,41,4,1,213
215,100,0.33,2,1,23,8,0,465
216,50,1.0,17,0,45,4,1,481
217,50,1.0,9,0,48,6,0,8455
218,50,0.55,16,0,39,7,1,754
219,50,0.41,6,0,64,8,0,108
220,100,0.21,8,0,19,15,1,801
221,50,1.0,2,0,76,8,1,495
222,50,1.0,7,0,54,6,0,19
223,60,1.0,9,0,34,6,1,1417
224,85,0.38,6,0,23,7,1,1495
225,51,0.24,12,0,37,4,0,61
226,50,0.58,2,0,43,6,0,35
227,68,0.58,12,0,26,4,0,33
228,50,0.03,3,1,81,6,1,4348
229,50,0.74,5,1,58,10,1,3302
230,50,0.47,4,0,34,5,0,88
231,50,0.45,4,1,67,9,1,168
232,72,0.25,11,0,26,7,1,827
233,50,0.04,2,0,31,7,0,1408
234,100,0.43,21,0,31,4,1,4762
235,50,0.29,9,0,48,6,0,105
236,53,1.0,7,0,29,5,0,1323
237,78,0.39,10,0,37,9,1,6570
238,50,1.0,15,0,53,4,1,1313
239,60,0.25,7,1,30,10,0,412
240,50,0.24,4,0,54,5,1,1298
241,50,1.0,1,0,45,12,0,97
242,50,0.21,2,0,39,6,0,3214
243,54,0.21,7,0,35,6,0,399
244,50,0.28,4,1,61,6,0,12374
245,112,0.13,1,0,25,5,0,916
246,50,0.5,12,0,66,4,0,11
247,58,0.51,0,0,42,5,1,41
248,95,0.91,7,0,52,6,1,1165
249,65,0.21,6,1,43,6,0,76
250,50,1.0,2,0,74,5,0,112
251,50,1.0,1,0,52,4,1,1027
252,50,0.04,0,1,37,6,0,4218
253,62,1.0,13,0,61,5,0,269
254,100,0.07,10,0,22,9,1,102
255,50,0.5,5,0,73,5,1,185
256,88,0.42,1,1,57,8,1,41
257,50,0.45,0,1,72,6,0,8915
258,76,1.0,8,0,30,8,0,1753
259,50,1.0,14,0,49,6,1,1408
260,156,0.5,9,0,32,6,1,1910
261,54,0.4,7,0,38,5,0,817
262,80,0.03,0,1,22,4,1,4427
263,85,0.61,26,0,41,14,1,27000
264,50,0.82,12,0,35,8,0,433
265,50,0.28,4,1,37,5,1,3374
266,64,0.58,6,0,34,7,1,84
267,50,0.64,2,1,50,7,0,721
268,50,1.0,14,0,58,4,1,3317
269,50,1.0,2,0,43,15,1,1002
270,50,1.0,8,0,50,4,0,186
271,68,0.2,0,0,30,5,1,3859
273,68,0.12,10,0,27,7,0,39
274,50,0.17,0,1,37,8,0,85
275,54,0.45,2,1,34,7,0,3274
276,50,1.0,5,0,52,7,1,1210
277,50,0.71,0,0,71,7,0,4116
278,50,0.35,2,1,37,7,0,917
279,106,1.0,3,0,33,6,1,3019
280,50,0.05,7,0,65,5,0,741
281,50,0.37,21,0,47,4,1,32
282,68,0.08,7,0,36,6,0,2575
283,50,1.0,14,0,20,4,1,2212
284,76,0.16,0,0,52,5,1,854
285,50,0.2,2,1,71,4,1,75
286,60,1.0,1,0,45,5,1,8455
287,125,0.1,1,1,20,4,1,27000
288,51,1.0,14,0,31,7,1,81
289,55,1.0,14,0,58,6,0,3385
290,50,1.0,11,0,40,8,1,32
291,50,0.41,0,0,64,7,1,182
292,50,0.36,12,0,61,10,1,173
293,50,0.53,8,1,48,10,0,399
294,51,0.29,2,0,34,7,1,721
295,55,0.15,7,0,63,7,0,59
296,80,0.17,11,0,25,6,0,1054
297,85,0.71,4,1,23,5,1,27000
298,50,0.59,18,0,50,4,1,60
299,50,0.49,9,0,33,6,0,29
300,50,0.05,8,0,53,8,0,115
301,57,0.06,2,1,32,8,1,139
302,76,1.0,11,0,49,5,1,286
303,64,0.07,12,0,37,6,0,3317
304,50,0.04,2,1,49,5,0,301
305,50,0.5,21,0,45,7,1,139
306,50,1.0,2,0,57,7,1,679
307,68,0.54,5,1,49,6,1,260
308,64,0.36,2,1,36,6,0,226
309,50,0.21,4,1,50,9,1,269
310,73,1.0,4,0,76,7,1,16533
311,80,0.07,6,1,29,6,0,3708
312,80,0.08,16,0,35,6,0,3301
313,50,1.0,19,0,64,8,1,1602
314,100,0.53,8,0,25,7,0,1314
315,68,0.29,12,0,32,6,0,111
316,50,1.0,8,0,74,4,1,41
317,80,0.49,8,0,37,5,0,4059
318,50,1.0,8,0,57,4,1,229
319,50,0.01,0,1,79,5,1,218
320,50,1.0,14,0,48,10,1,213
321,100,0.4,11,0,32,6,0,43
322,50,0.53,4,0,43,6,0,354
323,95,0.09,8,0,63,7,0,25
324,50,0.06,12,0,46,5,1,3657
325,50,1.0,7,0,36,5,1,1410
326,85,0.08,0,1,30,4,1,10008
327,50,1.0,1,0,53,8,0,39
328,50,1.0,11,0,78,5,1,803
329,50,0.34,1,0,53,7,0,52
330,50,0.5,2,1,48,10,1,510
331,50,0.08,3,1,45,6,0,2257
332,50,1.0,28,0,39,7,0,56
333,50,0.0027397260273972,5,0,52,6,0,110
334,50,1.0,13,0,44,6,0,287
335,59,0.41,10,0,44,5,1,72
336,55,0.12,1,1,34,10,1,2472
337,50,0.8,13,0,52,7,1,96
338,50,1.0,3,0,52,11,1,182
339,50,0.7,0,0,54,8,0,473
340,50,0.26,7,0,73,6,1,537
341,85,0.1,7,0,33,7,1,856
342,72,0.34,1,1,62,4,1,36
343,50,0.17,4,1,65,5,1,24
344,50,0.08,1,0,44,6,0,591
345,50,0.15,0,0,55,15,1,167
346,50,0.09,0,1,38,10,1,283
347,50,1.0,26,0,42,9,1,182
348,50,0.06,0,1,45,10,1,15703
349,50,0.53,1,1,63,4,1,1234
350,50,0.08,1,0,64,5,0,162
351,50,0.00273224,4,0,79,5,0,44
352,50,1.0,15,0,53,5,1,1313
353,76,0.03,3,1,71,9,1,4650
354,56,1.0,12,0,40,6,0,1601
355,57,0.75,9,0,28,7,0,52
356,64,0.46,4,0,34,5,0,2983
357,85,0.45,28,0,32,7,0,9307
358,54,0.31,17,0,37,6,0,745
359,50,0.03,7,0,54,4,1,57
360,50,0.24,1,1,48,11,0,404
361,50,1.0,8,0,29,5,1,44
362,50,0.25,17,0,51,7,1,134
363,50,1.0,14,0,66,7,1,199
364,50,1.0,2,0,70,7,1,533
365,100,0.29,5,0,23,5,0,9307
366,50,0.01,0,0,54,6,1,4762
367,50,1.0,6,0,40,6,0,88
368,50,1.0,12,0,59,6,0,496
369,50,1.0,9,0,59,6,0,67
370,63,0.91,8,0,34,4,1,1955
371,50,1.0,11,0,39,4,0,13
372,83,0.22,13,0,45,10,1,218
373,95,0.2,10,0,29,7,1,27
374,50,0.02,1,1,64,4,1,1929
375,77,1.0,6,0,53,5,1,27000
376,50,0.6,1,0,50,7,1,821
377,54,0.83,2,0,29,6,0,202
378,50,1.0,2,0,42,10,0,13
379,50,0.45,2,1,43,6,1,21
380,50,1.0,5,0,70,7,1,57
381,76,0.5,13,0,37,5,1,3317
382,50,0.36,2,1,58,8,1,445
383,50,0.75,19,0,61,6,0,610
384,80,0.08,10,0,33,4,1,1055
385,50,0.29,15,0,40,5,0,2715
386,53,0.09,2,1,34,4,0,101
387,50,0.08,15,0,54,7,1,1629
388,50,0.72,0,1,53,12,0,75
389,50,1.0,10,0,79,7,0,46
390,86,0.91,8,0,33,6,0,86
391,72,0.59,12,0,48,5,0,312
392,51,0.11,3,1,33,7,0,81
393,90,1.0,13,0,31,4,1,1054
394,57,0.74,5,0,36,8,0,930
395,50,0.2,5,0,68,6,1,280
396,50,0.01,3,0,57,5,0,5
397,50,0.24,4,0,41,5,0,3963
398,50,0.27,20,0,55,4,1,2201
399,95,0.12,7,0,46,5,1,1326
400,50,1.0,15,0,37,8,0,20
401,50,0.5,1,0,50,8,0,187
402,76,0.98,7,0,43,9,1,713
403,50,1.0,5,0,63,4,1,3744
404,50,0.06,7,0,43,7,0,1466
405,72,0.18,1,0,45,7,0,4128
406,50,0.15,13,0,38,7,1,98
407,50,1.0,5,0,67,10,1,68
408,50,0.13,8,0,40,6,0,25
409,50,0.08,3,1,46,8,0,688
410,50,0.12,1,0,45,7,1,3744
411,50,0.41,13,0,72,7,1,13
412,50,0.08,12,0,43,6,1,288
413,50,1.0,4,0,47,5,0,81
414,90,0.15,13,0,23,4,1,3991
415,50,0.28,3,1,42,5,1,688
416,58,0.23,13,0,34,8,0,3339
417,50,1.0,6,0,64,5,0,152
418,68,0.12,3,1,35,11,0,41
419,80,0.42,17,0,31,6,0,117
420,50,1.0,6,0,67,6,0,522
421,76,0.33,7,0,28,6,0,151
422,50,0.2,14,0,40,6,0,405
423,95,0.2,3,1,30,6,0,861
424,64,0.33,6,0,35,5,1,2472
425,50,0.98,2,1,61,6,0,106
426,50,0.33,14,0,57,7,1,1182
427,59,0.07,3,0,58,7,1,3859
428,50,0.02,8,0,53,7,1,451
429,50,1.0,9,0,50,6,0,1165
430,50,0.92,1,0,33,8,0,40
431,72,0.05,0,1,50,8,0,317
432,55,0.08,16,0,40,4,1,1765
433,57,0.73,16,0,31,8,0,22
434,50,1.0,14,0,52,8,0,93
435,50,0.03,1,0,61,9,0,49
436,50,0.07,0,0,41,5,0,27
437,50,0.35,3,0,61,7,1,77
438,60,0.65,5,0,29,7,1,141
439,50,0.13,2,1,53,6,0,84
440,50,1.0,2,0,32,4,1,3021
441,50,1.0,5,0,74,7,1,9307
442,54,0.36,0,1,43,10,0,27000
443,76,0.62,4,0,28,4,1,1521
444,56,0.15,6,0,55,6,1,866
445,57,0.24,13,0,48,4,1,2044
446,50,1.0,3,0,38,7,0,261
447,52,0.87,4,1,70,15,0,1457
448,55,1.0,4,0,34,4,0,56
449,50,0.04,6,0,58,7,1,32
450,50,0.75,7,0,46,6,0,3386
451,50,0.2,0,1,64,6,0,1699
452,50,0.48,0,1,43,10,1,27000
453,50,0.49,5,0,24,5,1,82
454,100,0.3,15,0,36,5,1,157
455,55,1.0,4,0,41,4,1,23
456,50,0.07,13,0,77,7,1,145
457,64,0.23,11,0,30,9,1,10
458,50,0.83,4,1,47,6,0,69
459,50,0.86,7,0,57,6,1,1943
460,50,0.24,3,0,39,5,1,14
461,95,0.61,16,0,18,5,1,86
462,50,0.03,9,0,49,6,0,50
463,57,0.09,5,0,38,4,1,206
464,64,0.04,0,1,58,7,0,2019
465,59,0.07,3,1,37,4,1,270
466,50,0.08,32,0,41,6,1,157
467,106,0.02,10,0,24,4,1,85
468,64,0.42,3,1,36,7,1,315
469,50,0.07,1,0,34,7,1,245
470,76,0.26,13,0,50,9,1,131
471,50,0.74,5,1,47,8,0,173
472,60,0.07,11,0,36,6,0,483
473,85,0.08,18,0,34,5,1,1326
474,50,0.24,6,0,63,6,0,405
475,71,1.0,5,0,36,5,1,634
476,50,0.45,1,1,36,7,0,185
477,54,0.08,0,0,31,7,1,3132
478,95,0.13,12,0,25,7,1,194
479,50,0.46,15,0,55,5,1,5460
480,57,0.07,10,0,36,5,1,61
481,62,0.05,0,1,58,9,1,16291
482,62,0.5,6,0,64,8,0,66
483,50,1.0,10,0,79,4,1,658
484,50,0.52,5,1,53,4,1,3386
485,50,0.12,15,0,39,8,0,4762
486,50,1.0,2,0,47,5,1,3386
487,50,0.02,3,1,71,5,1,458
488,60,0.08,3,0,33,6,0,501
489,50,1.0,11,0,61,10,1,1753
490,54,1.0,8,0,33,5,1,84
491,50,1.0,18,0,68,5,1,149
492,50,1.0,2,0,73,4,1,25
493,54,0.12,0,1,30,5,1,5433
494,50,0.67,17,0,38,4,1,38
495,60,0.18,7,0,33,7,0,8549
496,64,0.91,1,0,33,7,1,745
497,95,0.55,12,0,21,9,1,107
498,50,0.08,1,1,46,10,1,876
499,50,0.02,6,0,50,7,0,1521
500,50,1.0,5,0,51,5,0,817
501,50,0.0027322404371584,0,1,54,6,1,127
502,72,0.08,10,0,29,6,0,217
503,76,0.58,9,0,30,10,1,1662
504,50,0.26,10,0,50,6,0,50
505,50,1.0,13,0,91,5,1,115
506,72,1.0,5,0,30,5,0,3386
507,57,0.49,13,0,31,6,1,43
508,51,0.46,7,0,34,6,0,295
509,78,0.06,4,0,34,12,1,4116
510,50,0.8,1,1,49,6,1,800
511,50,1.0,8,0,53,5,1,3386
512,50,0.45,2,1,56,7,1,3744
513,50,0.28,1,1,48,6,1,175
514,50,0.08,14,0,45,7,1,2699
515,50,1.0,4,0,43,7,0,56
516,90,0.29,6,0,21,6,0,4128
517,50,1.0,9,0,35,6,0,1054
518,68,0.49,10,0,34,6,0,583
519,50,1.0,12,0,77,8,1,73
520,64,0.08,4,0,30,7,0,824
521,50,0.71,13,0,54,7,1,67
522,62,0.7,2,1,63,10,1,4753
523,55,1.0,10,0,55,9,1,26
524,50,0.13,0,1,43,6,1,677
525,50,0.09,0,1,64,10,1,99
526,50,0.24,16,0,48,7,1,51
527,50,1.0,16,0,52,5,1,83
528,61,0.12,5,0,37,7,0,160
529,50,0.23,9,0,51,6,0,42
530,68,0.08,14,0,42,7,1,4456
531,50,0.4,7,0,53,5,1,500
532,112,0.18,19,0,21,8,0,1313
533,50,1.0,6,0,67,7,1,27000
534,68,0.96,1,0,26,5,0,3317
535,50,1.0,8,0,48,7,0,142
536,50,0.57,10,0,61,7,1,27
537,72,0.83,9,0,27,4,1,97
538,50,0.47,8,0,35,6,0,256
539,50,1.0,6,0,35,6,0,4116
540,72,1.0,9,0,36,4,1,8455
541,50,0.48,6,0,36,5,1,91
542,50,0.06,9,0,50,7,1,298
543,77,0.08,11,0,31,10,1,31
544,50,1.0,17,0,60,6,0,15
545,50,0.91,15,0,38,5,1,2399
546,90,0.23,16,0,34,9,0,71
547,72,1.0,8,0,26,6,1,342
548,50,0.61,4,1,52,5,1,863
549,100,0.01,3,1,22,6,1,3023
550,50,0.08,5,0,44,6,0,487
551,50,0.17,0,1,48,9,1,82
552,50,0.74,1,0,54,4,1,10
553,50,0.12,5,0,56,6,0,1482
554,118,0.87,3,1,29,7,1,45
555,50,0.12,3,1,52,8,0,1807
556,50,0.21,0,0,38,7,1,1542
557,50,1.0,16,0,38,6,0,109
558,50,0.7,6,1,52,6,0,1323
559,50,0.54,10,0,41,7,0,476
560,50,0.75,4,0,51,6,1,76
561,54,1.0,2,0,59,5,1,983
562,50,0.75,15,0,42,7,1,33
563,50,0.77,9,0,40,4,1,140
564,50,0.68,1,0,57,6,0,44
565,118,0.29,15,0,23,5,1,385
566,50,1.0,13,0,62,4,1,13
567,50,0.53,0,1,43,4,0,1262
568,72,0.24,8,0,32,6,0,384
569,50,0.45,2,1,56,4,0,8455
570,50,1.0,14,0,42,6,0,175
571,64,0.47,1,0,31,6,0,2411
572,50,0.58,4,0,33,6,1,283
573,50,0.74,1,1,65,6,1,225
574,51,0.12,4,0,31,5,0,45
575,62,0.58,17,0,42,7,1,741
576,72,0.49,6,0,34,7,1,1753
577,50,1.0,7,0,54,7,0,11
578,50,0.14,2,1,59,7,0,403
579,54,0.07,1,1,32,5,1,1609
580,50,0.18,13,1,47,10,0,262
581,62,0.32,8,0,34,8,0,741
582,72,0.25,6,0,29,6,1,9307
583,50,1.0,2,0,56,6,0,170
584,50,1.0,11,0,57,6,1,9
585,100,0.08,11,0,19,5,1,393
586,80,0.53,18,0,34,4,1,105
587,50,0.1,0,1,46,8,0,44
588,95,0.33,12,0,32,6,1,455
589,55,0.08,3,0,29,6,0,389
590,50,1.0,10,0,45,4,1,130
591,50,1.0,7,0,46,6,0,3317
592,50,0.42,1,0,47,4,0,2715
593,68,0.49,18,0,30,7,0,146
594,78,1.0,9,0,35,7,1,51
595,50,1.0,5,0,53,4,1,163
596,50,1.0,1,0,45,7,1,1313
597,64,0.08,3,0,30,11,0,41
598,85,1.0,17,0,67,5,0,10
599,54,0.95,9,0,31,6,0,288
600,85,0.41,17,0,46,7,0,26
601,50,0.89,3,0,54,5,1,522
602,64,0.13,7,0,30,5,0,579
603,80,0.86,9,0,24,6,0,22
604,50,1.0,8,0,67,4,1,1313
605,90,0.24,10,0,28,4,1,3866
606,68,0.08,0,1,27,4,0,488
607,50,0.04,4,1,43,8,0,238
608,50,1.0,7,1,44,9,1,127
609,50,0.24,7,0,48,7,0,398
610,50,0.67,1,1,40,8,0,1403
611,50,0.26,5,0,50,4,1,177
612,50,0.74,1,0,47,6,0,73
613,54,1.0,13,0,41,6,0,533
614,68,0.46,6,1,41,6,1,495
615,50,1.0,12,0,34,5,0,2575
616,51,0.74,1,1,38,8,0,1196
617,76,0.64,35,0,23,4,1,3386
618,50,1.0,7,0,66,5,0,9
619,50,0.42,0,0,53,7,0,38
620,62,0.31,1,1,41,12,0,738
621,50,0.07,3,1,45,8,0,27000
622,72,0.12,0,1,25,4,1,194
623,50,1.0,14,0,52,7,1,4128
624,50,0.59,2,1,52,4,0,1729
625,50,1.0,13,0,48,7,0,240
626,80,0.12,2,1,33,4,1,7313
627,50,0.93,6,0,50,6,1,186
628,50,0.09,5,1,46,4,1,2674
629,72,0.67,5,0,29,6,0,1451
630,50,0.98,3,0,60,7,0,1370
631,50,1.0,11,0,55,10,1,125
632,100,0.77,18,0,52,8,0,335
633,85,0.07,16,0,26,6,0,473
634,62,0.54,2,1,37,8,0,261
635,54,0.95,18,0,38,4,1,57
636,50,0.1,8,0,70,9,1,2733
637,54,0.5,9,0,38,5,1,118
638,54,0.87,2,1,41,6,1,4358
639,50,0.15,2,0,80,7,1,27000
640,50,0.87,1,1,44,4,0,97
641,50,0.13,12,0,70,6,0,405
642,50,1.0,17,0,57,4,1,1403
643,68,0.08,9,0,32,6,0,2575
644,95,0.45,5,0,27,5,0,3317
645,64,0.57,11,1,35,6,1,219
646,50,1.0,6,0,55,7,0,24
647,53,0.08,17,0,69,4,1,252
648,50,0.42,3,0,59,6,0,149
649,68,0.17,8,0,31,4,0,1871
650,50,0.33,16,0,32,4,1,149
651,50,0.9,1,0,57,8,0,10
652,50,0.63,2,1,56,7,0,59
653,50,0.83,15,0,40,5,0,111
654,63,0.1,0,1,34,10,1,218
655,50,1.0,10,0,37,5,0,193
656,50,1.0,4,1,39,4,1,98
657,100,0.6,13,0,35,7,1,35
658,100,0.97,11,0,19,4,1,489
659,57,0.95,13,0,33,4,1,7403
660,50,0.57,6,0,50,6,0,3688
661,50,1.0,9,0,57,5,1,412
662,95,0.008196721,15,0,19,4,1,170
663,72,0.16,9,0,33,7,0,69
664,50,0.84,7,0,45,4,1,526
665,57,0.95,18,0,30,6,1,578
666,50,1.0,4,0,50,7,1,353
667,64,1.0,10,0,39,7,1,147
668,50,0.07,0,1,53,8,0,15725
669,50,1.0,2,0,78,4,1,4762
670,50,0.08,0,1,70,5,1,5460
671,50,0.09,2,0,49,7,0,283
672,68,0.25,2,0,24,6,0,20
673,100,0.02,12,0,31,4,1,15
674,50,0.59,11,1,44,6,1,71
675,50,0.43,10,0,45,5,1,15
676,50,0.06,1,1,60,11,0,533
677,72,0.17,4,1,35,11,0,90
678,95,0.06,20,0,21,7,1,473
679,50,0.07,0,1,51,5,1,6485
680,85,0.07,1,0,34,5,0,1448
681,100,0.26,1,1,36,11,0,16533
682,51,0.53,10,1,34,6,0,1629
